HIP 113402,HIP 113402 B,M (Red dwarf) Star,false,M0
HIP 113402,HIP 113402 C,L (Brown dwarf) Star,false,L6
HIP 113402,HIP 113402 D,M (Red dwarf) Star,false,M9
Seurboda,Seurboda A,M (Red dwarf) Star,true,M3
Seurboda,Seurboda B,L (Brown dwarf) Star,false,L7
Seurboda,Seurboda C,T (Brown dwarf) Star,false,T4
Seurboda,Seurboda D,L (Brown dwarf) Star,false,L3
Jambo Dadi,Jambo Dadi A,F (White) Star,true,F5
Jambo Dadi,Jambo Dadi B,K (Yellow-Orange) Star,false,K4
Jambo Dadi,Jambo Dadi C,M (Red dwarf) Star,false,M0
Jambo Dadi,Jambo Dadi D,K (Yellow-Orange) Star,false,K0
Jambo Dadi,Jambo Dadi E,K (Yellow-Orange) Star,false,K7
Xib Cakurbi,Xib Cakurbi,K (Yellow-Orange) Star,true,K1
Segnen,Segnen A,G (White-Yellow) Star,true,G7
Segnen,Segnen B,M (Red dwarf) Star,false,M4
Hyades Sector JM-V c2-5,Hyades Sector JM-V c2-5,K (Yellow-Orange) Star,true,K8
HIP 65780,HIP 65780 A,G (White-Yellow) Star,true,G5
HIP 65780,HIP 65780 B,G (White-Yellow) Star,false,G6
HIP 105431,HIP 105431 A,F (White) Star,true,F1
HIP 105431,HIP 105431 B,K (Yellow-Orange) Star,false,K3
HIP 105431,HIP 105431 C,G (White-Yellow) Star,false,G3
HIP 105431,HIP 105431 D,M (Red dwarf) Star,false,M4
HIP 64443,HIP 64443,K (Yellow-Orange) Star,true,K2
Atron,Atron,M (Red dwarf) Star,true,M4
Konohavas,Konohavas A,M (Red dwarf) Star,true,M3
Konohavas,Konohavas B,T (Brown dwarf) Star,false,T1
HIP 111285,HIP 111285,G (White-Yellow) Star,true,G4
Huai Na,Huai Na A,K (Yellow-Orange) Star,true,K3
Huai Na,Huai Na B,K (Yellow-Orange) Star,false,K8
HIP 114188,HIP 114188 A,F (White) Star,true,F9
HIP 114188,HIP 114188 B,G (White-Yellow) Star,false,G8
Bletones,Bletones,K (Yellow-Orange) Star,true,K9
HIP 52545,HIP 52545,M (Red dwarf) Star,true,M4
Prahlada,Prahlada,K (Yellow-Orange) Star,true,K5
HIP 68085,HIP 68085 A,G (White-Yellow) Star,true,G
HIP 68085,HIP 68085 B,G (White-Yellow) Star,false,G4
HIP 94926,HIP 94926,G (White-Yellow) Star,true,G
Yeninuri,Yeninuri A,M (Red dwarf) Star,true,M5
Yeninuri,Yeninuri B,T (Brown dwarf) Star,false,T2
HIP 76189,HIP 76189,K (Yellow-Orange) Star,true,K6
Moan,Moan A,M (Red dwarf) Star,true,M3
Moan,Moan B,M (Red dwarf) Star,false,M6
Moan,Moan C,L (Brown dwarf) Star,false,L9
Tukuluma,Tukuluma A,M (Red dwarf) Star,true,M3
Tukuluma,Tukuluma B,L (Brown dwarf) Star,false,L1
Rio Paha,Rio Paha,T Tauri Star,true,TTS3
HIP 102962,HIP 102962,A (Blue-White) Star,true,A6
Col 285 Sector HD-I c10-6,Col 285 Sector HD-I c10-6,K (Yellow-Orange) Star,true,K3
Uellaturt,Uellaturt,K (Yellow-Orange) Star,true,K0
Col 285 Sector XF-E c12-12,Col 285 Sector XF-E c12-12,K (Yellow-Orange) Star,true,K1
HIP 118045,HIP 118045,K (Yellow-Orange giant) Star,true,K0
Chaitany,Chaitany,F (White) Star,true,F7
Theta Phoenicis,Theta Phoenicis,A (Blue-White) Star,true,A
HIP 116263,HIP 116263 A,F (White) Star,true,F3
HIP 116263,HIP 116263 B,F (White) Star,false,F6
Kalkinja,Kalkinja A,K (Yellow-Orange) Star,true,K6
Kalkinja,Kalkinja B,M (Red dwarf) Star,false,M9
Kalkinja,Kalkinja C,L (Brown dwarf) Star,false,L6
Lesovices,Lesovices A,K (Yellow-Orange) Star,true,K9
Lesovices,Lesovices B,M (Red dwarf) Star,false,M7
Lesovices,Lesovices C,M (Red dwarf) Star,false,M9
HIP 58924,HIP 58924 A,F (White) Star,true,F7
HIP 58924,HIP 58924 B,K (Yellow-Orange) Star,false,K8
HIP 58924,HIP 58924 C,K (Yellow-Orange) Star,false,K4
HIP 82460,HIP 82460 A,F (White) Star,true,F
HIP 82460,HIP 82460 AB 2,Y (Brown dwarf) Star,false,Y5
HIP 82460,HIP 82460 B,G (White-Yellow) Star,false,G9
HIP 82460,HIP 82460 C,F (White) Star,false,F7
Karnir,Karnir A,M (Red dwarf) Star,true,M8
Karnir,Karnir B,L (Brown dwarf) Star,false,L7
Karnir,Karnir C,L (Brown dwarf) Star,false,L8
Chao Gu,Chao Gu A,M (Red dwarf) Star,true,M0
Chao Gu,Chao Gu B,M (Red dwarf) Star,false,M7
Tai Szu,Tai Szu,K (Yellow-Orange) Star,true,K4
HR 8250,HR 8250,F (White) Star,true,F1
Daibais,Daibais A,K (Yellow-Orange) Star,true,K5
Daibais,Daibais B,M (Red dwarf) Star,false,M4
Daibais,Daibais C,M (Red dwarf) Star,false,M8
HIP 42174,HIP 42174 A,M (Red dwarf) Star,true,M6
HIP 42174,HIP 42174 B,L (Brown dwarf) Star,false,L1
Loptaroju,Loptaroju,K (Yellow-Orange) Star,true,K3
Lafquene,Lafquene A,T Tauri Star,true,TTS1
Lafquene,Lafquene B,T Tauri Star,false,TTS9
Pyemsitoq,Pyemsitoq A,F (White) Star,true,F7
Pyemsitoq,Pyemsitoq B,M (Red dwarf) Star,false,M1
Pyemsitoq,Pyemsitoq C,M (Red dwarf) Star,false,M5
Pyemsitoq,Pyemsitoq D,M (Red dwarf) Star,false,M9
Ghary,Ghary A,G (White-Yellow) Star,true,G6
Ghary,Ghary B,M (Red dwarf) Star,false,M3
Ghary,Ghary C,F (White) Star,false,F9
Ghary,Ghary D,G (White-Yellow) Star,false,G0
HIP 67918,HIP 67918 A,F (White) Star,true,F1
HIP 67918,HIP 67918 B,K (Yellow-Orange) Star,false,K9
Bodia,Bodia,K (Yellow-Orange) Star,true,K6
Fan Wen,Fan Wen,F (White) Star,true,F1
Ammata,Ammata,K (Yellow-Orange) Star,true,K1
Ammata,Ammata 1,Y (Brown dwarf) Star,false,Y5
Bikoro,Bikoro,M (Red dwarf) Star,true,M2
HIP 37376,HIP 37376,K (Yellow-Orange) Star,true,K7
HIP 94497,HIP 94497,K (Yellow-Orange) Star,true,K6
HIP 47058,HIP 47058,G (White-Yellow) Star,true,G0
Cambo,Cambo,K (Yellow-Orange) Star,true,K2
Gira,Gira A,M (Red dwarf) Star,true,M8
Gira,Gira B,L (Brown dwarf) Star,false,L7
HIP 44169,HIP 44169 A,G (White-Yellow) Star,true,G
HIP 44169,HIP 44169 B,K (Yellow-Orange) Star,false,K7
Thrimpo,Thrimpo,K (Yellow-Orange) Star,true,K2
HIP 107395,HIP 107395,M (Red dwarf) Star,true,M8
Xelas,Xelas,M (Red dwarf) Star,true,M1
HIP 92929,HIP 92929,G (White-Yellow) Star,true,G
HIP 42563,HIP 42563,M (Red dwarf) Star,true,M5
"Skil'sla","Skil'sla A",M (Red dwarf) Star,true,M6
"Skil'sla","Skil'sla B",L (Brown dwarf) Star,false,L7
Mo Dadiweu,Mo Dadiweu,K (Yellow-Orange) Star,true,K3
Col 285 Sector SD-R c5-15,Col 285 Sector SD-R c5-15,K (Yellow-Orange) Star,true,K0
Antliae Sector BQ-Y c8,Antliae Sector BQ-Y c8,K (Yellow-Orange) Star,true,K4
Scythians,Scythians,M (Red dwarf) Star,true,M1
Honggoro,Honggoro A,T Tauri Star,true,TTS7
Honggoro,Honggoro B,T Tauri Star,false,TTS6
Uterna,Uterna A,M (Red dwarf) Star,true,M7
Uterna,Uterna B,L (Brown dwarf) Star,false,L8
Uterna,Uterna C,T (Brown dwarf) Star,false,T2
HIP 75122,HIP 75122 A,F (White) Star,true,F1
HIP 75122,HIP 75122 B,F (White) Star,false,F7
HIP 75122,HIP 75122 C,G (White-Yellow) Star,false,G0
HIP 75122,HIP 75122 D,M (Red dwarf) Star,false,M4
HIP 75122,HIP 75122 E,M (Red dwarf) Star,false,M8
Robolda,Robolda A,M (Red dwarf) Star,true,M1
Robolda,Robolda B,L (Brown dwarf) Star,false,L6
HR 8666,HR 8666,F (White) Star,true,F
HR 8666,HR 8666 1,Y (Brown dwarf) Star,false,Y4
HR 8666,HR 8666 7,Y (Brown dwarf) Star,false,Y3
HIP 80680,HIP 80680,G (White-Yellow) Star,true,G
Col 285 Sector EC-H b12-1,Col 285 Sector EC-H b12-1 A,M (Red dwarf) Star,true,M2
Col 285 Sector EC-H b12-1,Col 285 Sector EC-H b12-1 B,L (Brown dwarf) Star,false,L8
HIP 17751,HIP 17751,G (White-Yellow) Star,true,G5
HIP 17751,HIP 17751 1,Y (Brown dwarf) Star,false,Y5
Khasargiz,Khasargiz A,K (Yellow-Orange) Star,true,K0
Khasargiz,Khasargiz B,M (Red dwarf) Star,false,M0
Khasargiz,Khasargiz C,M (Red dwarf) Star,false,M8
Col 285 Sector XE-V b17-5,Col 285 Sector XE-V b17-5 A,M (Red dwarf) Star,true,M5
Col 285 Sector XE-V b17-5,Col 285 Sector XE-V b17-5 B,L (Brown dwarf) Star,false,L7
Shorinans,Shorinans A,G (White-Yellow) Star,true,G8
Shorinans,Shorinans B,M (Red dwarf) Star,false,M6
Shorinans,Shorinans C,M (Red dwarf) Star,false,M9
Koartoq,Koartoq A,M (Red dwarf) Star,true,M3
Koartoq,Koartoq B,L (Brown dwarf) Star,false,L5
Koartoq,Koartoq C,M (Red dwarf) Star,false,M8
Koartoq,Koartoq D,T (Brown dwarf) Star,false,T0
Koartoq,Koartoq E,L (Brown dwarf) Star,false,L7
Katukilal,Katukilal A,M (Red dwarf) Star,true,M2
Katukilal,Katukilal B,M (Red dwarf) Star,false,M9
HIP 65346,HIP 65346,G (White-Yellow) Star,true,G7
HIP 65346,HIP 65346 2,Y (Brown dwarf) Star,false,Y3
Ashe,Ashe A,M (Red dwarf) Star,true,M1
Ashe,Ashe B,M (Red dwarf) Star,false,M7
Thotti,Thotti,M (Red dwarf) Star,true,M3
Shoshonean,Shoshonean A,M (Red dwarf) Star,true,M5
Shoshonean,Shoshonean B,M (Red dwarf) Star,false,M5
Shoshonean,Shoshonean C,L (Brown dwarf) Star,false,L8
Jathatin,Jathatin,G (White-Yellow) Star,true,G8
Bhalan,Bhalan A,F (White) Star,true,F4
Bhalan,Bhalan B,K (Yellow-Orange) Star,false,K3
Esien Zu,Esien Zu A,K (Yellow-Orange) Star,true,K7
Esien Zu,Esien Zu B,L (Brown dwarf) Star,false,L5
Esien Zu,Esien Zu C,T (Brown dwarf) Star,false,T4
Wikalar,Wikalar,K (Yellow-Orange) Star,true,K3
HIP 91701,HIP 91701 A,G (White-Yellow) Star,true,G3
HIP 91701,HIP 91701 B,M (Red dwarf) Star,false,M7
HIP 84642,HIP 84642 A,G (White-Yellow) Star,true,G
HIP 84642,HIP 84642 B,M (Red dwarf) Star,false,M8
Marrivits,Marrivits,K (Yellow-Orange) Star,true,K9
Col 285 Sector QT-P c6-7,Col 285 Sector QT-P c6-7 A,K (Yellow-Orange) Star,true,K9
Col 285 Sector QT-P c6-7,Col 285 Sector QT-P c6-7 B,M (Red dwarf) Star,false,M9
Samar,Samar A,M (Red dwarf) Star,true,M7
Samar,Samar B,T (Brown dwarf) Star,false,T2
Vajrappa,Vajrappa,M (Red dwarf) Star,true,M1
HIP 43756,HIP 43756 A,M (Red dwarf) Star,true,M
HIP 43756,HIP 43756 B,M (Red dwarf) Star,false,M0
Arasan,Arasan,G (White-Yellow) Star,true,G7
HIP 100539,HIP 100539,G (White-Yellow) Star,true,G
HIP 100539,HIP 100539 2,Y (Brown dwarf) Star,false,Y3
HIP 81996,HIP 81996 A,K (Yellow-Orange) Star,true,K1
HIP 81996,HIP 81996 B,M (Red dwarf) Star,false,M7
HIP 81996,HIP 81996 C,M (Red dwarf) Star,false,M4
HIP 81996,HIP 81996 D,L (Brown dwarf) Star,false,L5
Llwydanane,Llwydanane A,M (Red dwarf) Star,true,M8
Llwydanane,Llwydanane B,L (Brown dwarf) Star,false,L5
Llwydanane,Llwydanane C,T (Brown dwarf) Star,false,T3
HIP 109642,HIP 109642,F (White) Star,true,F3
HIP 1687,HIP 1687,K (Yellow-Orange) Star,true,K9
Ngeratha,Ngeratha,M (Red dwarf) Star,true,M5
Almasci,Almasci,K (Yellow-Orange) Star,true,K7
Rabal,Rabal A,K (Yellow-Orange) Star,true,K6
Rabal,Rabal B,M (Red dwarf) Star,false,M7
Sahamocoria,Sahamocoria A,K (Yellow-Orange) Star,true,K9
Sahamocoria,Sahamocoria B,M (Red dwarf) Star,false,M9
Sahamocoria,Sahamocoria C,M (Red dwarf) Star,false,M9
Sun Batha,Sun Batha,T Tauri Star,true,TTS3
Ejagani,Ejagani A,G (White-Yellow) Star,true,G5
Ejagani,Ejagani B,M (Red dwarf) Star,false,M8
HIP 82515,HIP 82515,F (White) Star,true,F1
Gliese 4014,Gliese 4014,G (White-Yellow) Star,true,G
Bhariaborii,Bhariaborii,F (White) Star,true,F5
Melingo,Melingo,T Tauri Star,true,TTS4
HIP 66974,HIP 66974 A,G (White-Yellow) Star,true,G
HIP 66974,HIP 66974 B,F (White) Star,false,F6
HIP 82835,HIP 82835 A,K (Yellow-Orange) Star,true,K1
HIP 82835,HIP 82835 B,M (Red dwarf) Star,false,M1
HIP 82835,HIP 82835 C,L (Brown dwarf) Star,false,L0
HIP 48691,HIP 48691 A,G (White-Yellow) Star,true,G5
HIP 48691,HIP 48691 B,K (Yellow-Orange) Star,false,K4
HIP 48691,HIP 48691 C,K (Yellow-Orange) Star,false,K7
Bhado,Bhado,K (Yellow-Orange) Star,true,K0
Nicor,Nicor,T (Brown dwarf) Star,true,T0
HIP 107587,HIP 107587,K (Yellow-Orange) Star,true,K3
HIP 80936,HIP 80936,G (White-Yellow) Star,true,G6
Addovika,Addovika A,G (White-Yellow) Star,true,G8
Addovika,Addovika B,K (Yellow-Orange) Star,false,K5
Addovika,Addovika C,M (Red dwarf) Star,false,M0
Addovika,Addovika D,L (Brown dwarf) Star,false,L1
Himavisci,Himavisci,M (Red dwarf) Star,true,M0
Nega,Nega,M (Red dwarf) Star,true,M3
Latjang,Latjang,G (White-Yellow) Star,true,G5
Col 285 Sector XK-E c12-29,Col 285 Sector XK-E c12-29,K (Yellow-Orange) Star,true,K4
HIP 69985,HIP 69985 A,K (Yellow-Orange) Star,true,K2
HIP 69985,HIP 69985 B,M (Red dwarf) Star,false,M8
HIP 75964,HIP 75964,K (Yellow-Orange) Star,true,K3
Leucosyen,Leucosyen,K (Yellow-Orange) Star,true,K4
Samas,Samas,G (White-Yellow) Star,true,G3
Jupangati,Jupangati A,T Tauri Star,true,TTS2
Jupangati,Jupangati B,T Tauri Star,false,TTS8
HIP 56641,HIP 56641 A,K (Yellow-Orange) Star,true,K1
HIP 56641,HIP 56641 B,M (Red dwarf) Star,false,M0
San Wu,San Wu A,M (Red dwarf) Star,true,M4
San Wu,San Wu B,M (Red dwarf) Star,false,M9
San Wu,San Wu C,M (Red dwarf) Star,false,M1
HIP 100235,HIP 100235,G (White-Yellow) Star,true,G5
Brabralung,Brabralung A,M (Red dwarf) Star,true,M2
Brabralung,Brabralung B,M (Red dwarf) Star,false,M8
HIP 39681,HIP 39681 A,G (White-Yellow) Star,true,G
HIP 39681,HIP 39681 B,M (Red dwarf) Star,false,M3
HIP 39681,HIP 39681 C,K (Yellow-Orange) Star,false,K9
Kutkinungs,Kutkinungs A,G (White-Yellow) Star,true,G2
Kutkinungs,Kutkinungs B,K (Yellow-Orange) Star,false,K3
HIP 54977,HIP 54977,G (White-Yellow) Star,true,G9
HIP 49080,HIP 49080,G (White-Yellow) Star,true,G8
HIP 47050,HIP 47050 A,K (Yellow-Orange) Star,true,K1
HIP 47050,HIP 47050 B,M (Red dwarf) Star,false,M2
HIP 47050,HIP 47050 C,M (Red dwarf) Star,false,M0
Maikpod,Maikpod A,M (Red dwarf) Star,true,M2
Maikpod,Maikpod B,L (Brown dwarf) Star,false,L2
Maikpod,Maikpod C,M (Red dwarf) Star,false,M4
Maikpod,Maikpod D,M (Red dwarf) Star,false,M4
Chimbo,Chimbo,M (Red dwarf) Star,true,M7
Col 285 Sector SW-O b21-5,Col 285 Sector SW-O b21-5,M (Red dwarf) Star,true,M0
Pariabaka,Pariabaka,M (Red dwarf) Star,true,M1
Chatkwa,Chatkwa A,K (Yellow-Orange) Star,true,K4
Chatkwa,Chatkwa B,M (Red dwarf) Star,false,M4
Bhrige,Bhrige A,K (Yellow-Orange) Star,true,K4
Bhrige,Bhrige B,M (Red dwarf) Star,false,M7
Okona,Okona A,K (Yellow-Orange) Star,true,K4
Okona,Okona B,M (Red dwarf) Star,false,M5
Okona,Okona C,T (Brown dwarf) Star,false,T1
Hohnpete,Hohnpete,M (Red dwarf) Star,true,M0
Col 285 Sector PU-E c12-20,Col 285 Sector PU-E c12-20 A,K (Yellow-Orange) Star,true,K2
Col 285 Sector PU-E c12-20,Col 285 Sector PU-E c12-20 B,L (Brown dwarf) Star,false,L2
Col 285 Sector PU-E c12-20,Col 285 Sector PU-E c12-20 C,M (Red dwarf) Star,false,M6
Malaman,Malaman A,M (Red dwarf) Star,true,M6
Malaman,Malaman B,M (Red dwarf) Star,false,M5
Ibibio,Ibibio A,K (Yellow-Orange) Star,true,K9
Ibibio,Ibibio B,M (Red dwarf) Star,false,M5
Ibibio,Ibibio C,M (Red dwarf) Star,false,M8
Slavaci,Slavaci A,G (White-Yellow) Star,true,G8
Slavaci,Slavaci B,M (Red dwarf) Star,false,M2
Amenhit,Amenhit,M (Red dwarf) Star,true,M5
No Miki,No Miki A,M (Red dwarf) Star,true,M6
No Miki,No Miki B,L (Brown dwarf) Star,false,L3
No Miki,No Miki C,L (Brown dwarf) Star,false,L8
Odudusekui,Odudusekui A,F (White) Star,true,F6
Odudusekui,Odudusekui B,G (White-Yellow) Star,false,G5
233 G. Aquarii,233 G. Aquarii,F (White) Star,true,F0
Pegasi Sector IR-W d1-88,Pegasi Sector IR-W d1-88 A,G (White-Yellow) Star,true,G1
Pegasi Sector IR-W d1-88,Pegasi Sector IR-W d1-88 B,G (White-Yellow) Star,false,G3
Pegasi Sector IR-W d1-88,Pegasi Sector IR-W d1-88 C,M (Red dwarf) Star,false,M0
Col 285 Sector YK-O d6-73,Col 285 Sector YK-O d6-73 A,G (White-Yellow) Star,true,G5
Col 285 Sector YK-O d6-73,Col 285 Sector YK-O d6-73 B,K (Yellow-Orange) Star,false,K5
HIP 107175,HIP 107175 A,K (Yellow-Orange) Star,true,K
HIP 107175,HIP 107175 B,M (Red dwarf) Star,false,M9
HIP 107362,HIP 107362 A,F (White) Star,true,F7
HIP 107362,HIP 107362 B,M (Red dwarf) Star,false,M2
Arabha,Arabha,K (Yellow-Orange) Star,true,K1
HIP 108288,HIP 108288,G (White-Yellow) Star,true,G
Aruntei,Aruntei A,K (Yellow-Orange) Star,true,K1
Aruntei,Aruntei B,K (Yellow-Orange) Star,false,K9
Aruntei,Aruntei C,M (Red dwarf) Star,false,M7
Maritai,Maritai,M (Red dwarf) Star,true,M8
Lie Zha,Lie Zha,M (Red dwarf) Star,true,M6
Goibniu,Goibniu,G (White-Yellow) Star,true,G6
HIP 37722,HIP 37722 A,G (White-Yellow) Star,true,G6
HIP 37722,HIP 37722 B,M (Red dwarf) Star,false,M1
Ovini,Ovini A,M (Red dwarf) Star,true,M7
Ovini,Ovini B,T (Brown dwarf) Star,false,T3
Auscapaka,Auscapaka A,M (Red dwarf) Star,true,M4
Auscapaka,Auscapaka B,L (Brown dwarf) Star,false,L6
Auscapaka,Auscapaka C,L (Brown dwarf) Star,false,L1
HIP 48365,HIP 48365 A,K (Yellow-Orange) Star,true,K1
HIP 48365,HIP 48365 B,K (Yellow-Orange) Star,false,K7
HIP 49694,HIP 49694 A,F (White) Star,true,F1
HIP 49694,HIP 49694 B,K (Yellow-Orange) Star,false,K5
Kivas,Kivas A,M (Red dwarf) Star,true,M2
Kivas,Kivas B,M (Red dwarf) Star,false,M9
HIP 47255,HIP 47255,G (White-Yellow) Star,true,G2
No Myoino,No Myoino A,T Tauri Star,true,TTS1
No Myoino,No Myoino B,T Tauri Star,false,TTS4
No Myoino,No Myoino C,T Tauri Star,false,TTS0
No Myoino,No Myoino D,T Tauri Star,false,TTS0
Raijuhan Yi,Raijuhan Yi A,G (White-Yellow) Star,true,G4
Raijuhan Yi,Raijuhan Yi B,M (Red dwarf) Star,false,M4
HIP 64698,HIP 64698 A,G (White-Yellow) Star,true,G4
HIP 64698,HIP 64698 B,M (Red dwarf) Star,false,M5
HIP 64698,HIP 64698 C,K (Yellow-Orange) Star,false,K0
HIP 64698,HIP 64698 D,L (Brown dwarf) Star,false,L3
Piliwa,Piliwa,L (Brown dwarf) Star,true,L0
Cambou,Cambou,K (Yellow-Orange) Star,true,K2
Col 285 Sector RP-E c12-5,Col 285 Sector RP-E c12-5 A,G (White-Yellow) Star,true,G3
Col 285 Sector RP-E c12-5,Col 285 Sector RP-E c12-5 B,M (Red dwarf) Star,false,M0
HIP 42253,HIP 42253,K (Yellow-Orange) Star,true,K0
HIP 18420,HIP 18420,F (White) Star,true,F2
HIP 18496,HIP 18496,F (White) Star,true,F
Winians,Winians,T Tauri Star,true,TTS6
Tau-3 Gruis,Tau-3 Gruis,A (Blue-White) Star,true,A4
Tau-3 Gruis,Tau-3 Gruis 8,Y (Brown dwarf) Star,false,Y3
Fong Dadia,Fong Dadia,G (White-Yellow) Star,true,G8
25 Canum Venaticorum,25 Canum Venaticorum,F (White) Star,true,F
25 Canum Venaticorum,25 Canum Venaticorum B,F (White) Star,false,F5
Mbegera,Mbegera,K (Yellow-Orange) Star,true,K5
Adlivun,Adlivun,F (White) Star,true,F1
Drevlya Mu,Drevlya Mu A,K (Yellow-Orange) Star,true,K5
Drevlya Mu,Drevlya Mu B,M (Red dwarf) Star,false,M5
Ilmeno,Ilmeno A,K (Yellow-Orange) Star,true,K4
Ilmeno,Ilmeno B,M (Red dwarf) Star,false,M5
Ramapani,Ramapani,M (Red dwarf) Star,true,M0
Unutet,Unutet A,M (Red dwarf) Star,true,M9
Unutet,Unutet B,L (Brown dwarf) Star,false,L7
Poqoman,Poqoman A,K (Yellow-Orange) Star,true,K4
Poqoman,Poqoman B,M (Red dwarf) Star,false,M6
Poqoman,Poqoman C,L (Brown dwarf) Star,false,L4
Tubalith,Tubalith A,M (Red dwarf) Star,true,M0
Tubalith,Tubalith B,M (Red dwarf) Star,false,M4
Uelliano,Uelliano A,G (White-Yellow) Star,true,G0
Uelliano,Uelliano B,M (Red dwarf) Star,false,M8
Balticus,Balticus,K (Yellow-Orange) Star,true,K1
HIP 22858,HIP 22858,K (Yellow-Orange) Star,true,K6
HIP 100967,HIP 100967 A,G (White-Yellow) Star,true,G0
HIP 100967,HIP 100967 B,M (Red dwarf) Star,false,M1
Mundindja,Mundindja,M (Red dwarf) Star,true,M6
KashiGaut,KashiGaut A,M (Red dwarf) Star,true,M7
KashiGaut,KashiGaut B,L (Brown dwarf) Star,false,L2
HIP 107397,HIP 107397 A,G (White-Yellow) Star,true,G2
HIP 107397,HIP 107397 B,M (Red dwarf) Star,false,M2
HIP 107397,HIP 107397 C,K (Yellow-Orange) Star,false,K6
HIP 103107,HIP 103107,F (White) Star,true,F8
Itzamnet,Itzamnet,F (White) Star,true,F8
HIP 66730,HIP 66730 A,F (White) Star,true,F7
HIP 66730,HIP 66730 B,M (Red dwarf) Star,false,M5
Sasan,Sasan,M (Red dwarf) Star,true,M3
Col 285 Sector AG-O d6-125,Col 285 Sector AG-O d6-125,G (White-Yellow) Star,true,G5
Kosensi,Kosensi A,M (Red dwarf) Star,true,M0
Kosensi,Kosensi B,M (Red dwarf) Star,false,M0
Kosensi,Kosensi C,L (Brown dwarf) Star,false,L0
HIP 94966,HIP 94966 A,F (White) Star,true,F3
HIP 94966,HIP 94966 B,G (White-Yellow) Star,false,G7
HIP 94966,HIP 94966 C,K (Yellow-Orange) Star,false,K8
Tai Nang Mu,Tai Nang Mu,F (White) Star,true,F6
Tai Nang Mu,Tai Nang Mu 2,Y (Brown dwarf) Star,false,Y4
Muduwa,Muduwa A,F (White) Star,true,F8
Muduwa,Muduwa B,K (Yellow-Orange) Star,false,K5
Lomote,Lomote,M (Red dwarf) Star,true,M1
HIP 102406,HIP 102406,G (White-Yellow) Star,true,G4
Natar,Natar,M (Red dwarf) Star,true,M2
HIP 62925,HIP 62925 A,G (White-Yellow) Star,true,G0
HIP 62925,HIP 62925 B,K (Yellow-Orange) Star,false,K9
Madngenses,Madngenses,M (Red dwarf) Star,true,M2
