HIP 67918,Independent,Corporate,Colony,Low,8370,Jet Advanced Exchange
Bodia,Empire,Patronage,Industrial,Medium,7496796,The Enlightened Ones
Fan Wen,Independent,Democracy,Extraction,Low,145034,First Steps Academy
Ammata,Independent,Corporate,Terraforming,Medium,133178,Congressus Tenebris
Bikoro,Independent,Corporate,Extraction,Low,42728,Congressus Tenebris
HIP 37376,Independent,Corporate,Extraction,Low,14680,HIP 37376 Blue Creative Group
HIP 94497,Independent,Confederacy,Extraction,Medium,79479,Formidine Greybeard Guild
HIP 47058,Federation,Democracy,Extraction,Low,118156,Division 303
Cambo,Empire,Dictatorship,Industrial,Medium,3940555,Cambo Liberty Party
Gira,Independent,Theocracy,Industrial,Medium,2588186,The Order of Orion
HIP 44169,Independent,Corporate,Terraforming,Low,142893,HIP 44169 Corporation
Thrimpo,Federation,Democracy,Terraforming,Low,175113,Tehuevi Labour
HIP 107395,Independent,Communism,Terraforming,Low,2557817,Union of Eorasa
Xelas,Empire,Corporate,Military,Low,54173,Xelas Blue Federal Industry
HIP 92929,Independent,Feudal,Terraforming,Medium,166463,The Dukes of Mikunn
HIP 42563,Federation,Confederacy,Industrial,Medium,1469040,Educated Pilots Association
Skil'sla,Independent,Corporate,Extraction,Low,8078,Upaniklis Vision Incorporated
Mo Dadiweu,Independent,Communism,Terraforming,Medium,204169,Egovi Union
Col 285 Sector SD-R c5-15,Independent,Corporate,Military,Low,968114,Mildanji Exchange
Antliae Sector BQ-Y c8,Independent,Democracy,Military,Low,169227,Revolutionary Sasan Resistance
Scythians,Empire,Corporate,Refinery,Low,76043,Scythians Blue United Industry
Honggoro,Empire,Patronage,Extraction,Low,1972,The Void Walkers
Uterna,Independent,Feudal,Extraction,Low,2667,Lords of Mirdhr
HIP 75122,Independent,Democracy,Extraction,Low,1071,Fluke Works Union
Robolda,Independent,Cooperative,Extraction,Medium,106342,Celestial Light Brigade
HR 8666,Independent,Corporate,Terraforming,Medium,230668,A.T.L.A.S
HIP 80680,Independent,Communism,Refinery,Low,43238,Communist Interstellar Union
Col 285 Sector EC-H b12-1,Alliance,Dictatorship,Industrial,Low,127225,Natural Mehit Liberty Party
HIP 17751,Independent,Cooperative,Extraction,Low,22000,Misfit's of Science and Research
Khasargiz,Empire,Patronage,Refinery,Medium,327956,Khasargiz Empire Pact
Col 285 Sector XE-V b17-5,Empire,Patronage,Refinery,Medium,819788,Imperial Enforcement Division
Shorinans,Independent,Communism,Agriculture,Medium,75947,Union Party of Bungk
Koartoq,Independent,Corporate,Extraction,Low,16541,Technology-Union
Katukilal,Independent,Theocracy,Industrial,Medium,22540509,The Black Magisterium
HIP 65346,Empire,Feudal,Military,Medium,118274,Black Knights Brigade
Ashe,Independent,Corporate,Industrial,Low,2712239,Ultra Fuel Efficiency Systems
Thotti,Federation,Corporate,Industrial,Medium,5889495,The Nova Syndicate
Shoshonean,Independent,Democracy,Extraction,Medium,218301,Benelux Commanders
Jathatin,Independent,Corporate,Terraforming,Medium,125388,Lunar Rising Corporation
Bhalan,Empire,Patronage,Colony,Medium,123870,Le Legion de EX99
Esien Zu,Empire,Patronage,Extraction,Low,4978,Le Legion de EX99
Wikalar,Empire,Patronage,Extraction,Low,19475,Empire's Twilight
HIP 91701,Empire,Dictatorship,Industrial,Medium,3789199,Triarii of the Old Worlds
HIP 84642,Independent,Anarchy,Extraction,Anarchy,54355,HIP 84642 Purple Organisation
Marrivits,Independent,Anarchy,Industrial,Anarchy,4224771,Marrivits Purple Posse
Col 285 Sector QT-P c6-7,Independent,Corporate,Refinery,Low,79675,The Armory Coalition
Samar,Independent,Corporate,Industrial,Low,3048462,Samar Natural & Co
Vajrappa,Federation,Confederacy,Industrial,Low,1695953,Educated Pilots Association
HIP 43756,Independent,Democracy,Industrial,High,6853986,The Crimson Syndicate Party
Arasan,Independent,Democracy,Industrial,Medium,5465972,Dark Dragon Triad
HIP 100539,Independent,Patronage,Extraction,Low,43758,Pro-JDP League
HIP 81996,Alliance,Corporate,Extraction,Medium,56009,Sap Core Legion
Llwydanane,Independent,Communism,Industrial,Medium,1061113,Union of Laguvii
HIP 109642,Independent,Corporate,Extraction,Low,32785,Aces Wild Aerospace Corporation
HIP 1687,Independent,Cooperative,Terraforming,Low,133887,United Systems Cooperative
Ngeratha,Empire,Feudal,Agriculture,Medium,26384,RLL Mukhang Symposium
Almasci,Empire,Corporate,Colony,Low,74196,Almasci Commodities
Rabal,Independent,Democracy,Industrial,Low,3896269,Channel Zero
Sahamocoria,Independent,Cooperative,Extraction,Low,62598,Sahamocoria as one
Sun Batha,Independent,Communism,Extraction,Low,3396,Egovi Union
Ejagani,Independent,Dictatorship,High Tech,Low,10994,Wanderers of Witch Space
HIP 82515,Independent,Anarchy,Terraforming,Anarchy,140605,HIP 82515 Silver Rats
Gliese 4014,Independent,Communism,Extraction,Low,25481,Communist Interstellar Union
Bhariaborii,Alliance,Democracy,Industrial,Medium,6728078,Flat Galaxy Society
Melingo,Independent,Feudal,Extraction,Low,1280,Melingo Dominion
HIP 66974,Federation,Confederacy,Refinery,Low,15449,Confederation of Medu
HIP 82835,Federation,Corporate,Military,Low,386332,ARAX Arms Inc.
HIP 48691,Independent,Corporate,Terraforming,Medium,15352976,HIP 48691 Purple Creative Group
Bhado,Independent,Confederacy,Industrial,Low,10478200,Mortis Incorporated
Nicor,Independent,Dictatorship,Military,Low,17913,The Mercs of Mikunn
HIP 107587,Independent,Prison colony,Terraforming,Low,160188,Synteri Prison Colony
HIP 80936,Federation,Corporate,Extraction,Low,31102,The Nova Syndicate
Addovika,Independent,Corporate,Terraforming,Medium,4092587,Aces Wild Aerospace Corporation
Himavisci,Alliance,Democracy,Industrial,Low,2638156,Flat Galaxy Society
Nega,Independent,Communism,Industrial,Low,15978,Republic Party of Guligali
Latjang,Independent,Communism,Extraction,Low,75398,Nemetan People's Party
Col 285 Sector XK-E c12-29,Independent,Corporate,Colony,Low,1870,Silver Natural Co
HIP 69985,Federation,Democracy,Industrial,Low,2134975,Wolf 529 Democrats
HIP 75964,Independent,Corporate,Colony,Medium,174874,HIP 75964 Legal Partners
Leucosyen,Independent,Cooperative,Agriculture,Low,61666,Division Cassini
Samas,Independent,Corporate,Military,Low,75302,Aces Wild Aerospace Corporation
Jupangati,Independent,Theocracy,Extraction,Low,1649,Sacra Oculus
HIP 56641,Federation,Corporate,Industrial,Medium,19843344,HIP 56213 Blue State PLC
San Wu,Independent,Confederacy,Industrial,Medium,6606750,League of San Wu
HIP 100235,Independent,Feudal,Extraction,Medium,65164,Barons of Rianik
Brabralung,Empire,Patronage,Refinery,Medium,146123,HR 6565 Triad
HIP 39681,Independent,Anarchy,Extraction,Anarchy,5577,Samar Blue Crew
Kutkinungs,Independent,Corporate,Agriculture,Medium,349547,Technology-Union
HIP 54977,Independent,Theocracy,Military,Low,147387,Nugua Revered Cult
HIP 49080,Independent,Corporate,Industrial,Medium,3946251,MEGALOOT Interstellar Corp.
HIP 47050,Independent,Corporate,Extraction,Low,23336,Cruz del Sur Corp.
Maikpod,Independent,Democracy,Extraction,High,12008326,Tom Paine's Crew
Chimbo,Alliance,Confederacy,Extraction,Low,5448,Hive Redemption
Col 285 Sector SW-O b21-5,Independent,Corporate,Industrial,Low,514053,HIP 83425 Crimson Energy Co
Pariabaka,Independent,Democracy,Industrial,Low,3313024,United Pariabaka Future
Chatkwa,Independent,Democracy,Refinery,Medium,196029,Fatal Shadows
Bhrige,Independent,Democracy,Extraction,Low,14179,Fatal Shadows
Okona,Independent,Democracy,Extraction,Low,23718,Future of Klos
Hohnpete,Independent,Confederacy,High Tech,Low,32704,Cosmic Independent Agency
Col 285 Sector PU-E c12-20,Independent,Confederacy,Refinery,Low,99688,Cosmic Independent Agency
Malaman,Federation,Democracy,Terraforming,Low,132433,Independent Malaman Free
Ibibio,Empire,Patronage,Extraction,Medium,15832,Black Rebellion Empire Wing
Slavaci,Empire,Dictatorship,Colony,Medium,100409,HIP 116125 First
Amenhit,Independent,Communism,High Tech,Low,15809,Workers of Ts'ai Shai Left Party
No Miki,Independent,Cooperative,Extraction,Low,14439,The silent guardians
Odudusekui,Empire,Patronage,Refinery,High,368830,Likedeeler of Michel
233 G. Aquarii,Empire,Corporate,Extraction,Low,6006,GridJumper Industries
Pegasi Sector IR-W d1-88,Independent,Democracy,Refinery,Low,77194,Channel Zero
Col 285 Sector YK-O d6-73,Independent,Communism,Military,Low,399288,Union Party of Bungk
HIP 107175,Independent,Cooperative,Extraction,Low,15631,Co-op of HR 8210
HIP 107362,Independent,Cooperative,Refinery,High,341672,Celestial Light Brigade
Arabha,Federation,Democracy,Agriculture,Medium,62480,Arabha Labour
HIP 108288,Independent,Confederacy,Extraction,Medium,66261,Aqua Galactic
Aruntei,Independent,Corporate,Extraction,High,3688029,Phantom Corp.
Maritai,Empire,Patronage,Extraction,Low,1902,Pardii Empire Party
Lie Zha,Independent,Cooperative,Agriculture,Low,54690,Mostly Goodvibes Co-op
Goibniu,Federation,Democracy,Extraction,Low,2492,HIP 74183 Values Party
HIP 37722,Independent,Democracy,Terraforming,Medium,174428,Independents of HIP 37722
Ovini,Empire,Patronage,Terraforming,High,6432032,Empire's Twilight
Auscapaka,Federation,Corporate,Terraforming,Low,240672,Mooramoora Universal Partners
HIP 48365,Federation,Democracy,Extraction,Low,176666,Division 303
HIP 49694,Independent,Corporate,Extraction,Low,238530,HIP 49694 Allied Network
Kivas,Independent,Confederacy,Refinery,Low,101697,Cosmic Independent Agency
HIP 47255,Federation,Corporate,Terraforming,Medium,300836914,Croft Republic Auxiliary Fleet
No Myoino,Independent,Feudal,Colony,Low,2955,The Dukes of Mikunn
Raijuhan Yi,Empire,Patronage,Extraction,Medium,4375345,Likedeeler of Michel
HIP 64698,Federation,Confederacy,Refinery,Low,602243,Carl Sagan Legends
Piliwa,Independent,Cooperative,Agriculture,Low,17610,Distant Veterans
Cambou,Independent,Confederacy,Refinery,Medium,47537,Cosmic Independent Agency
Col 285 Sector RP-E c12-5,Independent,Confederacy,Refinery,Low,72879,Cosmic Independent Agency
HIP 42253,Independent,Feudal,Industrial,Medium,6490159,Aurora Venatores
HIP 18420,Independent,Corporate,Extraction,Low,46980,Broadcast Cobra
HIP 18496,Empire,Corporate,Extraction,Low,39142,HIP 18496 Dynamic Industries
Winians,Independent,Anarchy,Extraction,Anarchy,5926,Silintae Crimson Gang
Tau-3 Gruis,Independent,Cooperative,Extraction,Medium,230867,Cameron's Combat Services
Fong Dadia,Independent,Confederacy,Colony,Low,163461,Myakka Minutemen of Matyar
25 Canum Venaticorum,Independent,Corporate,Extraction,Low,449,HIP 65114 Services
Mbegera,Independent,Corporate,Industrial,Medium,4268787,Skyline Monopoly
Adlivun,Independent,Corporate,Extraction,Low,12391,Adlivun Allied Ltd
Drevlya Mu,Independent,Feudal,Refinery,Medium,202651,Leaders of Drevlya Mu
Ilmeno,Independent,Cooperative,Refinery,Medium,202623,Artemis Bow
Ramapani,Independent,Corporate,Industrial,Medium,5940568,Congressus Tenebris
Unutet,Independent,Communism,Refinery,High,328126,Union of Asvincegin
Poqoman,Independent,Communism,Extraction,Medium,164451,Workers of Poqoman Left Party
Tubalith,Independent,Theocracy,Industrial,Medium,41363747,Brotherhood of Batzin
Uelliano,Federation,Democracy,Extraction,Medium,210784,Imeutsu Free
Balticus,Federation,Corporate,Extraction,Low,64141,Fusang Heavy Engineering
HIP 22858,Independent,Anarchy,Refinery,Anarchy,2850,Race Marshalls
HIP 100967,Independent,Corporate,Refinery,Medium,127107,HIP 100967 Company
Mundindja,Independent,Patronage,Extraction,Low,6982,Mundindja Pro-Independent League
KashiGaut,Independent,Cooperative,Extraction,Medium,26720,Distant Veterans
HIP 107397,Independent,Feudal,Industrial,High,5734367,The Kuun-Lan
HIP 103107,Independent,Feudal,Colony,Medium,203893,The Kuun-Lan
Itzamnet,Independent,Feudal,Agriculture,Low,11773,The Kuun-Lan
HIP 66730,Federation,Confederacy,Extraction,Low,31433,Carl Sagan Legends
Sasan,Independent,Communism,Industrial,Medium,3225674,Workers of Moan Republic Party
Col 285 Sector AG-O d6-125,Independent,Corporate,Refinery,Low,298491,Manukan Industry
Kosensi,Federation,Democracy,Colony,Medium,166014,Progressive Party of Kosensi
HIP 94966,Federation,Corporate,Extraction,Medium,225067,Bot Network
Tai Nang Mu,Independent,Cooperative,Extraction,Medium,205386,Achan One
Muduwa,Independent,Cooperative,Refinery,Medium,83172,Knights of the Black
Lomote,Independent,Corporate,Refinery,Medium,267542,Lomote Interstellar
HIP 102406,Empire,Corporate,Terraforming,Medium,219603,Gandillava Bridge Limited
Natar,Independent,Communism,Extraction,Low,17017,Egovi Union
HIP 62925,Independent,Corporate,Terraforming,Low,164969,Delta Squadron
Madngenses,Independent,Feudal,Military,Medium,7023,Lords of the Old Dominion
Kedones,Independent,Feudal,Extraction,Low,1198,The Dukes of Mikunn
Ngarut,Independent,Democracy,High Tech,Low,38062,Fatal Shadows
HIP 61811,Alliance,Democracy,Agriculture,Medium,203183,Pork Chop Platoon
HIP 61840,Independent,Communism,Extraction,Low,98138,Coastin Citizen Party
Col 285 Sector KN-I c10-14,Independent,Democracy,Extraction,Low,125,EDC Commonwealth
Khwal,Independent,Corporate,Extraction,Medium,38322,Congressus Tenebris
HIP 76282,Independent,Cooperative,Industrial,Low,6611,Institute of Galactic Exploration and Research (IGER)
HIP 84164,Independent,Communism,Terraforming,Medium,181192,Communist Interstellar Union
HIP 60321,Independent,Corporate,Terraforming,Low,163246,HIP 60321 Industry
Heart Sector IR-V b2-0,Independent,Corporate,Extraction,Medium,30929,Farsight Logistics Company
Piapok,Federation,Corporate,Extraction,Low,9042,Odudu Partners
Khemaraui,Independent,Cooperative,Extraction,Medium,25448,Edensu Coordinated
Gabjaujini,Independent,Democracy,Refinery,Medium,127736,Fatal Shadows
Xeretes,Independent,Communism,Extraction,Low,30208,Union Party of Bungk
HIP 116074,Independent,Anarchy,Terraforming,Anarchy,254272,Society of HIP 116074
HR 4429,Independent,Corporate,Agriculture,Low,86841,Blue Phoenix Company
Patha,Alliance,Corporate,Industrial,Low,3257189,Razorback Astronautics
Rusamai,Independent,Communism,Extraction,Low,1906,Interstellar Proletarian Vanguard
Nyalalandi,Federation,Corporate,Refinery,Low,21786,Bot Network
Tz'utumu,Independent,Dictatorship,Military,Medium,121615,Alba Rotam Private Military Contractor
Arundji,Federation,Corporate,Military,Low,18768,Starlance Alpha
Col 285 Sector SU-E c12-12,Independent,Feudal,Refinery,Low,61514,Leaders of Kumbaya
HIP 106868,Independent,Democracy,Military,Low,285420,United HIP 108095 Values Party
Eventina,Independent,Feudal,Extraction,Low,23707,Lords of Mirdhr
HIP 35022,Independent,Prison colony,Extraction,Low,50802,HIP 35022 Prison Colony
Shankarns,Federation,Corporate,High Tech,Low,27676,HIP 80700 Jet Central PLC
Upan,Independent,Feudal,Extraction,Medium,46205,The Dukes of Mikunn
HIP 112268,Independent,Democracy,Military,Medium,504421,Channel Zero
Owiones,Independent,Anarchy,Agriculture,Anarchy,38613,Dragons of Ba Babal
Col 285 Sector PY-I c9-11,Federation,Corporate,Refinery,Low,19832,Hounds Corporation
Konbudo,Independent,Communism,Extraction,Low,20057,Communist Interstellar Union
Mukh,Independent,Dictatorship,Colony,Medium,92813,Union Cosmos
Pegasi Sector GR-M b7-3,Independent,Confederacy,Refinery,Low,82892,Mortis Incorporated
Shuitabraki,Empire,Patronage,Refinery,Medium,90711,Empire's Twilight
Arvetii,Empire,Patronage,Terraforming,Medium,216361,Empire's Twilight
Segovas,Empire,Corporate,Extraction,Medium,184685,Segovas Silver Central Services
HIP 23042,Empire,Patronage,Refinery,Medium,289635,HIP 23042 Imperial Society
Heptis,Independent,Cooperative,Extraction,Medium,337788,Celestial Light Brigade
HIP 112123,Independent,Cooperative,Extraction,Medium,390583,Cameron's Combat Services
Quaaybuwan,Independent,Corporate,Extraction,Low,5595,Pilots Trade Network
Bamum,Independent,Corporate,High Tech,Low,3605,Pilots Trade Network
Seagull Sector DL-Y d3,Independent,Anarchy,Extraction,Anarchy,15000,Black Rock Military
HIP 36509,Independent,Dictatorship,Military,Medium,472008,Order of Angui
HIP 51980,Independent,Corporate,Refinery,Low,40882,Waylon Research Corporation
Li Chiutama,Independent,Theocracy,Extraction,Medium,66416,Sublime Cult of Sentii
Andowa,Independent,Corporate,Extraction,Medium,2241794,Waylon Research Corporation
Apotanites,Independent,Cooperative,Agriculture,Medium,64279,Rook Platoon
HIP 64498,Independent,Democracy,Industrial,Low,4810742,Explorer on Tour
Cliocassi,Independent,Communism,Extraction,Low,15358,Egovi Union
Pinibo,Independent,Feudal,Extraction,Medium,2513205,The Dukes of Mikunn
Maidenwites,Empire,Corporate,Terraforming,Medium,301787,Sentinel of Candlelight
Sicusha,Independent,Communism,Refinery,Low,66571,United No Choen People's Party
Ngalua,Independent,Feudal,Industrial,Low,6167,The Dukes of Mikunn
Pegasi Sector MC-V c2-12,Independent,Democracy,Refinery,Low,618541,Channel Zero
Yanyamadimo,Empire,Patronage,Terraforming,Low,193514,Duro Patron's Principles
Tagarilocan,Independent,Cooperative,Extraction,Low,2085,Unified Tagarilocan
Yakaldukpe,Alliance,Cooperative,Extraction,Low,19721,Anticorp Deep Space Socialist Collective
Arakates,Independent,Corporate,Extraction,Low,52685,Technology-Union
Ololoney,Independent,Cooperative,Refinery,Medium,173031,Galactic Academic Training Group
Col 285 Sector IC-U d3-53,Independent,Corporate,Refinery,Low,55627,Expanders Corp
Lozin,Empire,Dictatorship,Terraforming,Low,210392,Imperial Corsairs
Subra,Independent,Cooperative,Extraction,Medium,6390065,Mando'ade of Subra
Kunaheo,Empire,Corporate,Military,Medium,137734,Platinum Imperia Mining Ltd
HIP 105200,Independent,Communism,Terraforming,Low,173108,Left Party of HIP 105200
Korai,Independent,Cooperative,Refinery,Medium,91743,Canonn
Kalunkul,Independent,Cooperative,High Tech,Low,23602,Celestial Light Brigade
Lieldi,Independent,Democracy,Refinery,High,167085,Progressive Party of Lieldi
Yen Ku,Independent,Dictatorship,Extraction,Medium,227900,Kaleni Order
Uayeb Xoc,Empire,Feudal,Agriculture,Low,4011,Legion LXVI
Wishas,Independent,Democracy,Extraction,Low,14231,Wings of Horus
Lomotwa,Independent,Communism,Refinery,Medium,38373,Communist Interstellar Union
Orisini,Federation,Democracy,Extraction,Medium,2482055,The Proteans
Reshesh,Independent,Theocracy,Industrial,Medium,8697277,Sacra Oculus
HIP 26030,Independent,Theocracy,Terraforming,Medium,386174,Sacra Oculus
Er Tchelis,Independent,Communism,Extraction,Low,14956,Workers of Manite Labour Union
Salava,Independent,Theocracy,Refinery,Medium,404573,Salava Sanctified Order
HR 6297,Empire,Corporate,Refinery,Medium,247197,Platinum Imperia Mining Ltd
Cuberara,Empire,Dictatorship,Agriculture,Medium,85362,Imperial Corsairs
Orobrogee,Federation,Corporate,Colony,Low,91787,Kholhoujem Jet Major Systems
Atiusing,Independent,Dictatorship,Industrial,Low,20983,Interstellar Guardian Merchants
HIP 7060,Empire,Patronage,Extraction,Low,60511,The Void Walkers
Tai He,Independent,Dictatorship,Colony,Medium,68148,Kaleni Order
Kilique,Empire,Patronage,Extraction,Medium,26236,Salus Imperial Society
Bosanos,Independent,Dictatorship,Industrial,Low,3358884,The Mercs of Mikunn
Sawasir,Independent,Corporate,Agriculture,Medium,60582,German Space Cruisers Inc.
HIP 61129,Independent,Corporate,Colony,Low,10494,German Space Cruisers Inc.
Nantundan,Federation,Confederacy,Extraction,Low,983,Movement for Nantundan Alliance
Kwatkwala,Independent,Patronage,Agriculture,Low,4976,Spes Nova Laboratories
Uygurr,Independent,Confederacy,Terraforming,Medium,105541,Formidine Greybeard Guild
HIP 65049,Independent,Theocracy,Terraforming,Medium,298451,The Black Magisterium
Conven,Empire,Dictatorship,Refinery,Low,61706,Imperial Corsairs
HIP 97977,Independent,Confederacy,Industrial,Low,1265764,Confederation of HIP 97977
HIP 97705,Independent,Communism,Colony,Medium,83737,Egovi Union
Vindumbiva,Federation,Corporate,High Tech,Low,1496,Vindumbiva Crimson Advanced Co
Dhakua,Independent,Cooperative,Colony,Medium,85564,Sahamocoria as one
Col 285 Sector XK-O d6-99,Independent,Democracy,Extraction,Low,653,Fatal Shadows
Abriguaymir,Federation,Democracy,Extraction,Medium,51682,Future of Abriguaymir
Tengu,Federation,Democracy,High Tech,Low,68506,Abyssal Legion
Ao Kiang,Independent,Feudal,Colony,Low,20868,Ryders of the Void
Wei Hsia,Empire,Patronage,Industrial,Medium,3325056,Elite United Worlds
Col 285 Sector AG-O d6-83,Independent,Feudal,Colony,Low,71638,The Dukes of Mikunn
Maribe,Independent,Corporate,Extraction,Low,16541,DaVinci Corp.
Taexalis,Empire,Patronage,Refinery,Low,46406,Black Rebellion Empire Wing
Menutes,Alliance,Corporate,Industrial,Medium,7290164,Sap Core Legion
Bengga,Independent,Feudal,Extraction,Low,1099,Marquis du Ma'a
HIP 39242,Empire,Dictatorship,Industrial,High,10877425,HIP 39242 Dominion
Nauan Du,Independent,Theocracy,Colony,Medium,55475,The Black Magisterium
HIP 89294,Independent,Democracy,Extraction,Low,24997,Fatal Shadows
Capricorni Sector FM-V b2-0,Independent,Prison,Extraction,High,0,Independent Detention Foundation
HIP 62153,Independent,Democracy,Military,Low,2334983,Explorer on Tour
Wolf 1042,Independent,Communism,Terraforming,Medium,7083220,Workers of Hevernaku Union Party
HIP 111027,Independent,Cooperative,Colony,Medium,275383,Cameron's Combat Services
Dilwanes,Federation,Corporate,Extraction,Medium,1787999,Hypersonic Networks
Luang Yans,Independent,Corporate,Industrial,Medium,1379545,Congressus Tenebris
Oshambia,Independent,Theocracy,Military,Low,7287,Sacra Oculus
Saoriosoli,Independent,Feudal,Extraction,Low,2076,The Dukes of Mikunn
HIP 95640,Empire,Dictatorship,Extraction,Medium,263426,Arche Corporation
Nipiates,Empire,Patronage,Industrial,Medium,43075,Imperial Dragoons
Zemete,Independent,Communism,Extraction,Low,30298,Workers of Ts'ai Shai Left Party
