name,allegiance,government,primaryEconomy,secondaryEconomy,security,population,controllingFaction.name
HIP 3311,Independent,Feudal,Tourism,Extraction,Medium,87132,Aristocrats of HIP 3311
HIP 296,Independent,Corporate,Agriculture,Industrial,High,8107732787,SSL Interstellar PLC
HIP 104071,Independent,Patronage,Terraforming,Extraction,Low,201038,HIP 104071 Independent Union
Gliese 113.1,Federation,Corporate,Refinery,High Tech,Low,90523,Kutjarasvat Crimson Power Serv
Munfayl,Independent,Dictatorship,High Tech,Extraction,Medium,7567789,Black Birds Consilium
HR 6948,Independent,Communism,Industrial,Extraction,High,37488247,United Fintamkina Left Party
Akhenaten,Federation,Democracy,Industrial,High Tech,Medium,5018216,The Fatherhood
Sol,Federation,Democracy,Refinery,Service,High,22780919531,Mother Gaia
HIP 32135,Independent,Confederacy,Terraforming,Extraction,Low,294457,Privateer's Alliance
HIP 34024,Federation,Corporate,Refinery,Extraction,Medium,267893,HIP 35274 Blue Adv Inc
HIP 60551,Alliance,Cooperative,Agriculture,Extraction,Medium,322342146,Para United
HIP 59735,Independent,Corporate,Colony,Extraction,Low,85984,Expanders Corp
HIP 67470,Independent,Corporate,Extraction,Agriculture,Low,42385,HIP 67470 Ltd
HIP 7823,Empire,Dictatorship,Colony,Extraction,Medium,152664,League of HIP 7823 Conservatives
HIP 726,Independent,Democracy,Refinery,Extraction,High,192737,Revolutionary HIP 599 Independents
Ys,Empire,Patronage,Colony,Extraction,Medium,215166,Likedeeler of Michel
HIP 95321,Empire,Dictatorship,Refinery,Extraction,Medium,152183,Arche Corporation
Gliese 3244,Independent,Corporate,Refinery,Military,Low,546269,Bar of Dreamers Inc
Iota-2 Fornacis,Empire,Corporate,Extraction,Agriculture,Low,54593,BFNF Solutions
LHS 1071,Empire,Corporate,Extraction,Agriculture,Medium,954807,G.O.M. Collective
CD-70 1960,Empire,Patronage,Industrial,High Tech,High,292828,CD-73 12 Patron's Principles
HIP 83983,Empire,Patronage,Extraction,High Tech,Low,49692,Flota Estelar Ibera
BD+12 810,Independent,Democracy,Colony,Extraction,Low,114941,Galileo Corporation
58 Eridani,Federation,Corporate,Industrial,Refinery,High,48158154,Earth Defense Fleet
Beta Hydri,Federation,Corporate,Extraction,Agriculture,Medium,6000029910,Beta Hydri Corporation
Quator,Federation,Corporate,Extraction,Agriculture,Low,5079,Bruthanvan Co
HIP 73650,Independent,Cooperative,Extraction,Industrial,Low,36833,Fortunes Corsairs
HIP 41573,Federation,Democracy,Agriculture,Military,Medium,197234,The Proteans
LTT 3799,Federation,Corporate,Industrial,Extraction,Medium,10798417,Sun Pin Jet Federal Limited
HIP 62921,Independent,Corporate,Terraforming,Refinery,Medium,137137,Delta Squadron
80 Leonis,Independent,Democracy,Industrial,Extraction,Medium,7648203,Interstellar Coalition for Pilot Rights
HIP 11144,Empire,Dictatorship,Extraction,Agriculture,Medium,13636,Steel Brotherhood
HIP 6949,Empire,Corporate,Terraforming,Colony,Medium,227320,HIP 7060 Comms Organisation
HIP 293,Independent,Communism,Terraforming,Agriculture,Medium,239146,Off World Collective
HIP 7040,Independent,Confederacy,Extraction,Military,Medium,247828,Di Yomi Praetorian Confederacy
HIP 22006,Empire,Dictatorship,Industrial,Agriculture,Medium,8594393,Shield of the Empire
Wakea,Independent,Cooperative,Agriculture,Military,High,12005559,Libertas Co-operative
CD-51 2650,Federation,Corporate,Military,Industrial,Medium,196849,CD-51 2650 Systems
HIP 15614,Independent,Theocracy,Extraction,Industrial,Medium,5968227,Sacra Oculus
HIP 5549,Empire,Patronage,Refinery,Extraction,Medium,412353,Khongarun Empire League
Epsilon Andromedae,Independent,Communism,Military,Agriculture,Low,184931,Guardians of Harmony
Gliese 3876,Alliance,Democracy,Extraction,Agriculture,Low,54264,Spearhead Charter
Rho Tucanae,Empire,Feudal,Extraction,Agriculture,Medium,110452,Prismatic Knights
63 Omicron-2 Cancri,Federation,Confederacy,Terraforming,Industrial,Medium,18520403,Educated Pilots Association
16 Librae,Independent,Democracy,Industrial,Extraction,Medium,6570620,Radio Sidewinder Crew
HR 1621,Federation,Corporate,Military,Agriculture,Low,29974,Steel Wolves Aegis Tactical
Nu Horologii,Independent,Feudal,Colony,Extraction,Medium,177192,White Scar Contingency
HR 5960,Independent,Cooperative,Industrial,Refinery,High,17470722,The Buurian Protectorate
HR 6301,Independent,Cooperative,Extraction,Agriculture,Low,30320,Division Cassini
Sigma Sculptoris,Independent,Corporate,Agriculture,Extraction,Medium,205603,Brian Solutions
30 Ceti,Independent,Corporate,High Tech,Refinery,High,14918620,Radius Group Inc
18 e Ursae Majoris,Independent,Corporate,Extraction,None,Low,1700,NODE 6
HIP 10570,Empire,Dictatorship,Terraforming,Colony,Medium,235808,HIP 10570 Constitution Party
HR 1645,Federation,Corporate,Industrial,Extraction,Medium,12555303,Steel Wolves Aegis Tactical
HR 1014,Independent,Dictatorship,Industrial,Extraction,Medium,3798519,Union Cosmos
79 Psi-2 Piscium,Independent,Dictatorship,Military,Colony,Low,884451,Alba Rotam Private Military Contractor
HR 6351,Alliance,Corporate,Terraforming,Military,Medium,329516,Sap Core Legion
DK Ursae Majoris,Independent,Corporate,Refinery,Extraction,Medium,235157,DK Ursae Majoris Natural Exchange
Chertan,Alliance,Corporate,Industrial,Refinery,High,14599861,BR CORPORATION
HIP 11160,Empire,Patronage,Agriculture,Extraction,Low,80048,Turkish Explorers Academy
HIP 7298,Independent,Corporate,Extraction,Military,Medium,238267,Small Laniakea
HR 1075,Independent,Cooperative,Industrial,Extraction,Medium,68240236,Misfit's of Science and Research
HIP 23759,Independent,Corporate,Service,Agriculture,Medium,121024,Xeno Research Group
California Sector BA-A e6,Alliance,Dictatorship,High Tech,None,Medium,10000,Turner Research Group
HR 6421,Independent,Anarchy,Industrial,Refinery,Anarchy,12167638,Children of Raxxla
HR 638,Empire,Dictatorship,Agriculture,Extraction,Low,90403,Bureau of Nidayiman
Beta Circini,Independent,Corporate,Agriculture,Refinery,High,7513499638,SSL Interstellar PLC
Carthage,Empire,Patronage,Refinery,Industrial,Medium,82000,Lavigny's Legion
HIP 46407,Independent,Feudal,Extraction,Colony,Medium,105865,Ancient Legio
HR 8210,Independent,Cooperative,Industrial,None,Low,2361180,Open Pilot's Initiative
15 f Leonis,Independent,Corporate,Terraforming,Industrial,Medium,16991551,The Armory Coalition
58 Ursae Majoris,Independent,Corporate,Extraction,Agriculture,Low,86839,Eol Prou Branch
Kappa Doradus,Empire,Patronage,Terraforming,Extraction,Medium,438364,Kappa Doradus Empire Party
HIP 18390,Independent,Feudal,Refinery,Extraction,Low,500000,Kumo Council
24 Canum Venaticorum,Federation,Confederacy,Refinery,Extraction,Low,129101,24 Canum Venaticorum Alliance
HIP 17519,Independent,Anarchy,Extraction,Agriculture,Anarchy,80806,In the Black Gang
22 g Leonis,Alliance,Corporate,Extraction,High Tech,Medium,52277,Ouroboros Holdings Corps
59 Ursae Majoris,Alliance,Corporate,Agriculture,Terraforming,Medium,369192,Virudnir InterSolar Ltd
HIP 22192,Empire,Patronage,Colony,Extraction,Medium,307764,United Imperial Loyalists
HR 6489,Independent,Patronage,Military,Colony,Low,100775,Rogue Merchanteers
Rho Telescopii,Independent,Communism,Extraction,Agriculture,Low,88092,Egovi Union
21 Leonis Minoris,Alliance,Corporate,Industrial,Extraction,Medium,4170867,Leviathan Shipyards Corps
Beta Horologii,Independent,Corporate,Extraction,Industrial,Low,15298,Exclusive Mega Universal
10 Iota Cygni,Independent,Dictatorship,Industrial,Refinery,High,14288819,Allied 10 Iota Cygni Defence Force
HR 6507,Independent,Confederacy,Industrial,Extraction,Medium,3167984,Cosmic Independent Agency
Eta Horologii,Empire,Patronage,Agriculture,Colony,Medium,3750205654,Lavigny's Legion
44 Eta Librae,Independent,Corporate,Refinery,Extraction,Medium,248040,Beyond Infinity Corporation
3 Corvi,Independent,Democracy,Industrial,Extraction,Medium,10280143,EDC Commonwealth
HIP 99210,Independent,Democracy,Refinery,Refinery,Low,605,Independent Caucuma Free
LTT 9846,Independent,Corporate,Industrial,Extraction,Low,65000,Black Emblem Company
HIP 16753,Independent,Cooperative,Industrial,Extraction,Medium,1200000,The Hive
Breamen,Independent,Corporate,Refinery,Extraction,Low,221066,Night Wolves Corporation
HIP 104560,Independent,Feudal,Terraforming,Industrial,Medium,2459733,Lords of Mirdhr
HIP 7705,Independent,Anarchy,Colony,Extraction,Anarchy,26425,Clan of HIP 7705
HIP 2453,Independent,Democracy,Industrial,Refinery,High,9835816,Interplanetary Explorations
HR 6669,Federation,Democracy,Extraction,Military,Medium,301258,HR 6669 Labour
HR 6541,Independent,Democracy,Agriculture,Refinery,Medium,868815512,Fatal Shadows
HIP 70253,Independent,Confederacy,Industrial,Agriculture,High,3115740127,Independent Defence Agency
HIP 277,Empire,Patronage,Terraforming,Agriculture,Medium,410149,Likedeeler of Michel
HIP 4747,Independent,Cooperative,Industrial,Military,Medium,4185098,Friends of Shontii
G 267-24,Independent,Cooperative,Refinery,Extraction,High,452645,The Winged Hussars
HR 916,Independent,Theocracy,Extraction,Industrial,Medium,43009,House of the Rising CERN
LTT 10410,Federation,Democracy,Extraction,Military,Low,59816,Evangeline's Elite Expeditionary Force
6 Ceti,Independent,Dictatorship,Industrial,Refinery,High,16423998,Black Birds Consilium
CD-34 13042,Independent,Communism,Colony,Extraction,Low,2367,Citizen Party of Dumnon
HIP 20094,Independent,Communism,Industrial,Extraction,Medium,11670615,Nagii Union
Terra Mater,Independent,Anarchy,Agriculture,Extraction,Anarchy,25106389,Brotherhood of Terra Mater
Zeta Tucanae,Federation,Corporate,High Tech,Refinery,Medium,219600,Earth Defense Fleet
HIP 81010,Independent,Communism,Industrial,Extraction,Medium,10679094,United Coalition of Boonta
HIP 36129,Independent,Corporate,Military,Extraction,Low,68591,CROSS Corp
HIP 72043,Alliance,Corporate,Agriculture,Refinery,High,2166350654,Applied Science Investments
HIP 76635,Independent,Patronage,Terraforming,Extraction,Medium,140555,LGC - Cartographers's Guild
HR 4680,Independent,Corporate,Terraforming,Extraction,Low,125576,Expanders Corp
HIP 11125,Empire,Dictatorship,Extraction,Refinery,Medium,463226,Allied Aholhyniai Party
Shinigami,Independent,Corporate,Agriculture,None,Medium,15000000000,SSL Interstellar PLC
LTT 305,Empire,Patronage,Extraction,Agriculture,Medium,317420,First Imperial Fleet
CD-86 84,Independent,Dictatorship,Military,Colony,Medium,149670,Party of Yoru
HIP 26689,Independent,Feudal,Extraction,Agriculture,Low,56914,Noblemen of HIP 26689
Zeta Leporis,Federation,Corporate,Military,Agriculture,Medium,195280,Earth Defense Fleet
Tianve,Alliance,Cooperative,Extraction,Military,Low,141999,Alliance Rapid-reaction Corps
HR 5751,Independent,Cooperative,Terraforming,Extraction,Low,158558,Fortunes Corsairs
HIP 36509,Independent,Dictatorship,Military,Colony,Medium,472008,Order of Angui
LR Hydrae,Federation,Corporate,Industrial,Military,Medium,1352070,Sun Pin Jet Federal Limited
HIP 70525,Independent,Corporate,Colony,Industrial,Low,164160,Dedalo Corp. Interstellar
HIP 48248,Independent,Corporate,Terraforming,Industrial,Medium,4952609,The Armory Coalition
HIP 63548,Independent,Democracy,Colony,Extraction,Low,368111,Explorer on Tour
HIP 11459,Empire,Dictatorship,Extraction,Military,Low,35799,Steel Brotherhood
HIP 7060,Empire,Patronage,Extraction,Industrial,Low,60511,The Void Walkers
HIP 494,Independent,Communism,Extraction,High Tech,Low,91536,Adamantine Union
HIP 14973,Empire,Patronage,Industrial,Extraction,Medium,50312524,Coffin Dodgers Inc.
Vargerson,Independent,Confederacy,Agriculture,None,Medium,750000,Browncoat Uprising
HIP 596,Empire,Patronage,Terraforming,Military,Medium,221349,HIP 596 Imperial Society
HIP 24597,Empire,Feudal,Extraction,High Tech,Low,74693,Corioskur Monarchy
CD-77 45,Independent,Cooperative,Refinery,Agriculture,Medium,9500000,Kulaye One
HIP 33799,Independent,Communism,Military,Terraforming,Medium,187923,People's HIP 33799 Republic Party
HIP 39330,Independent,Corporate,Refinery,Extraction,Medium,140035,Dark Matter Corporation
HIP 54641,Empire,Corporate,Terraforming,Extraction,Medium,154615,HIP 54641 Limited
HIP 49285,Independent,Cooperative,Industrial,Refinery,High,33821755,Section 51 R.A.I.D. Division
HIP 74290,Independent,Democracy,Terraforming,Agriculture,Medium,1509276,Ankh Guards
36 Cygni,Independent,Corporate,Extraction,Refinery,Low,2031,Galactic Core Corporation
49 Ceti,Independent,Democracy,Terraforming,Extraction,Medium,192539,Social 49 Ceti Future
Zeta Horologii,Empire,Patronage,High Tech,Refinery,High,31723425,Silver Hunter Order
HR 7327,Independent,Feudal,Industrial,Extraction,Medium,33546568,The Dukes of Mikunn
60 b Leonis,Independent,Corporate,Industrial,Refinery,High,11809912,Dark Echo
30 Serpentis,Independent,Patronage,Refinery,Extraction,Low,99379,LGC - Cartographers's Guild
Delta Doradus,Empire,Patronage,Industrial,Colony,High,5206335,Lavigny's Legion
Biham,Independent,Confederacy,Extraction,Agriculture,Low,133671,Tethys Independent Crew
HR 8671,Independent,Cooperative,Terraforming,Industrial,Medium,9234924,The Winged Hussars
HIP 18339,Independent,Cooperative,Industrial,Extraction,Medium,10165138,Red Dice Systems
HR 2551,Independent,Corporate,Colony,None,Low,5811,Indigo Technologies
GD 140,Alliance,Confederacy,High Tech,Refinery,Medium,82688292,Terran Colonial Forces
Eta Aquarii,Independent,Cooperative,Extraction,Military,Low,156296,Amicale des Compagnons de l'Espace
HIP 15604,Independent,Feudal,Industrial,Extraction,Medium,16632528,Marquis du Ma'a
38 Arietis,Independent,Democracy,Service,Extraction,Low,37674,Simbad Regime
Delta Normae,Federation,Corporate,Military,Extraction,Medium,60474,Kui Xiani Purple Netcoms Network
HR 8666,Independent,Corporate,Terraforming,Agriculture,Medium,230668,A.T.L.A.S
9 Lacertae,Independent,Cooperative,Military,Colony,Low,559913,Canonn
Aditi,Empire,Corporate,Refinery,Agriculture,High,15001260,Imperial Cartographic Cooperative
Tau-3 Gruis,Independent,Cooperative,Extraction,Military,Medium,230867,Cameron's Combat Services
Psi Fornacis,Independent,Dictatorship,Agriculture,Extraction,Low,66560,The Independent Light Wheel
Phekda,Independent,Corporate,Tourism,Industrial,Low,10012395,The Ancients of Mumu
HR 2265,Empire,Patronage,Colony,None,Low,93885,Imperial Liquidation Bureau
4 Eridani,Independent,Corporate,Military,Agriculture,High,362930,Galactic Rangers
15 Psi Scorpii,Federation,Democracy,Military,Extraction,Medium,178196,Green Party of 15 Psi Scorpii
HIP 30252,Empire,Patronage,Extraction,Agriculture,Medium,217422,Memento Mori
Tau Centauri,Independent,Dictatorship,Agriculture,Industrial,High,4498065173,PLOID
66 Andromedae,Federation,Confederacy,Refinery,None,Low,100263,Independent HIP 12040 Confederation
Kerb,Independent,Corporate,Colony,Extraction,Low,44895,Supreme Dynamics Corporation
33 Theta Cassiopeiae,Independent,Communism,Extraction,Agriculture,Low,125694,Urvasini Revolutionary Party
Tau-3 Eridani,Empire,Corporate,Industrial,Extraction,High,80076094,East India Company
Ruchbah,Independent,Theocracy,High Tech,Refinery,Medium,28201689,Order of Enblackenment
HR 943,Empire,Patronage,High Tech,Refinery,High,13262090,Coffin Dodgers Inc.
Epsilon Pavonis,Federation,Corporate,Industrial,None,High,5154328,Damnet Transport Organisation
108 Herculis,Independent,Democracy,Colony,Extraction,Low,113276,Fatal Shadows
HIP 10096,Empire,Patronage,Refinery,Terraforming,Medium,308110,HIP 10096 Emperor's Grace
Zibal,Independent,Anarchy,Industrial,Refinery,Anarchy,26601150,The Brigade
Alkaid,Alliance,Corporate,Extraction,Service,High,8470496826,Perez Ring Brewery
20 Ophiuchi,Independent,Cooperative,Industrial,Refinery,High,23460685,Social Eleu Progressive Party
HIP 101613,Independent,Anarchy,Colony,Extraction,Anarchy,5866,World Eaters
HIP 96077,Independent,Corporate,Military,Extraction,Low,66458,Purple United Solutions
HIP 91563,Independent,Confederacy,Terraforming,Industrial,Medium,3025961,Formidine Greybeard Guild
HIP 943,Independent,Communism,Extraction,Industrial,Medium,2344698,Guardians of Harmony
HIP 7924,Independent,Corporate,Military,Extraction,Medium,121194,HIP 7924 Jet Electronics Group
HIP 493,Independent,Corporate,Tourism,Agriculture,Medium,1167274057,Ministry Industries
HIP 104471,Independent,Cooperative,Extraction,Refinery,Low,337696434,Open Pilot's Initiative
HIP 95015,Independent,Corporate,Refinery,Agriculture,Medium,116852,HIP 95973 Advanced Ltd
HIP 10961,Independent,Dictatorship,Extraction,Agriculture,Low,76868,Zarni Cartel
HIP 6913,Alliance,Democracy,Military,Extraction,Medium,321660,Future of Udegoci
HIP 78923,Independent,Cooperative,Agriculture,Extraction,Low,138341,12th Fleet
HIP 290,Independent,Communism,Extraction,Industrial,Medium,5761724,Communist Party of Drakonia
HIP 16813,Independent,Democracy,Agriculture,Tourism,Medium,25024,Sirius Inc
HIP 4909,Empire,Patronage,Industrial,None,Medium,3582956,HIP 4909 Empire League
HIP 104504,Federation,Corporate,Industrial,Extraction,Low,34116621,Erion Corp.
HIP 14614,Independent,Corporate,Colony,Extraction,Low,198703,11th Squadron
AGKR 1017,Independent,Corporate,High Tech,Refinery,Medium,217915,Pan Galactic Mining Corp.
Theta Sculptoris,Independent,Democracy,Refinery,Extraction,Medium,242813,Paladin Consortium
HR 7291,Independent,Democracy,Industrial,Extraction,High,20382468,The Altruists
HIP 21167,Independent,Dictatorship,Agriculture,Extraction,Medium,822203076,League of HIP 21167
36 Persei,Federation,Corporate,Agriculture,Industrial,High,4173456111,Sirius Special Forces
82 Eridani,Independent,Cooperative,Refinery,Industrial,High,3608745,Boop Brigade
HIP 78551,Federation,Corporate,Industrial,Colony,Low,1745872,Starlance Alpha
30 Lyncis,Alliance,Democracy,Extraction,None,Low,2044,Movement for Caraceni Future
10 Canum Venaticorum,Independent,Corporate,Agriculture,Industrial,High,1549702573,New Pilots Initiative
109 Virginis,Alliance,Anarchy,Industrial,None,Anarchy,3346239,Woriosolis Boys
HIP 60061,Alliance,Corporate,Extraction,Industrial,Low,143932,Beaver Interstellar Ltd
HIP 8444,Independent,Patronage,Extraction,High Tech,Low,46375,Tactical Operation 31
HIP 1173,Empire,Patronage,Extraction,Agriculture,Medium,52691,Likedeeler of Michel
HIP 791,Empire,Prison Colony,Extraction,None,Low,3926,Moritasgus Imperial Corporation
HIP 11205,Empire,Feudal,Extraction,Agriculture,Low,27156,Marquis du HIP 11205
Likedeeler Magna Libertas,Empire,Patronage,Agriculture,Industrial,High,8844351780,Likedeeler of Michel
CD-69 5,Empire,Patronage,Refinery,Extraction,Medium,161459,Europa Interstellar
HIP 18388,Federation,Democracy,Refinery,Refinery,Low,151495,Federation Armada of the Fallen
Epsilon Fornacis,Empire,Patronage,Extraction,Refinery,Medium,286363,Verne Partners LLP
Euryale,Independent,Dictatorship,High Tech,Military,Medium,640082,EG Union
BD+15 896,Independent,Democracy,Extraction,Refinery,Low,99937,THE AZGHARIE
El,Federation,Corporate,Military,Refinery,Low,89612,Earth Defense Fleet
I Puppis,Federation,Corporate,Industrial,Refinery,Medium,3724136,I Puppis Federal Industry
Ededleen,Independent,Democracy,Agriculture,Industrial,High,2546420436,Independant Consultants Group
HIP 57080,Federation,Democracy,Refinery,Agriculture,Medium,231371,Democrats of HIP 57080
HIP 11493,Empire,Dictatorship,Refinery,Extraction,High,248072,Steel Brotherhood
HIP 16128,Empire,Corporate,Terraforming,Industrial,Medium,6575010,HIP 16128 & Co
HIP 1572,Empire,Patronage,Agriculture,Colony,Medium,804292888,HIP 1572 Empire Pact
HIP 24629,Empire,Patronage,Military,Extraction,Medium,175155,United Imperial Loyalists
HIP 9414,Independent,Cooperative,Industrial,Extraction,High,9651274,Aisling's Angels
HIP 55109,Independent,Theocracy,Refinery,Tourism,Medium,136942,The Ken'Tarii Mandate
HIP 43973,Independent,Democracy,Extraction,None,Low,26640,Spectrum of Justice
HIP 50013,Independent,Theocracy,Terraforming,Military,Medium,229936,Independent Pilot's Guild
HIP 19773,Independent,Cooperative,Extraction,Industrial,Low,18522,Concern Matrosskaya Tishina
HIP 10137,Empire,Patronage,Extraction,Refinery,Low,5094,Otohime Imperial Society
64 G. Capricorni,Federation,Corporate,Extraction,Military,Medium,130510,Fusang Heavy Engineering
HR 1139,Independent,Democracy,Industrial,Military,Low,3610244,Simbad Regime
24 G. Carinae,Empire,Feudal,Terraforming,Colony,Medium,350326,Order of the Imperial Knights
BD+22 4939,Independent,Corporate,Agriculture,Military,Low,505573,Spinward Marches Alliance Concern
Takurua,Independent,Corporate,Industrial,Extraction,High,423373,Sirius Corporation
HIP 8396,Independent,Corporate,Extraction,Refinery,High,412117,Selous Syndicate
HIP 115664,Independent,Communism,Refinery,Extraction,Low,105520,Guardians of Harmony
HIP 103895,Independent,Cooperative,Extraction,None,Low,6118,Phoenix Flight Explorers Commune
Ross 187,Independent,Confederacy,Refinery,Industrial,Low,243048,Formidine Greybeard Guild
66 Draconis,Independent,Corporate,Terraforming,Refinery,Low,210553,66 Draconis General Exchange
HIP 94497,Independent,Confederacy,Extraction,Industrial,Medium,79479,Formidine Greybeard Guild
HIP 91229,Federation,Corporate,Military,Colony,Low,677591,HIP 91229 Federal Group
HIP 88572,Federation,Democracy,Terraforming,Agriculture,Low,164895,Union of Biela Resistance
HIP 113894,Independent,Democracy,Refinery,Agriculture,Medium,124170,Channel Zero
HIP 3062,Independent,Communism,Extraction,Colony,Low,9962,Guardians of Harmony
HIP 112268,Independent,Democracy,Military,Colony,Medium,504421,Channel Zero
HIP 103913,Federation,Democracy,Industrial,Colony,Medium,2053027,Labour of HIP 103913
MCC 872,Independent,Communism,Industrial,Extraction,Medium,15376413,Guardians of Harmony
HIP 103678,Federation,Democracy,Military,Refinery,Medium,443877,Revolutionary Party of HIP 103678
Ross 752,Independent,Dictatorship,Colony,None,Low,81268,Phoenix Down
HIP 6596,Independent,Cooperative,Extraction,Military,Low,4075,HIP 6596 Stakeholders
HIP 641,Federation,Democracy,Terraforming,Agriculture,Low,226965,Stellanebula Project
HIP 111496,Independent,Cooperative,Refinery,Extraction,Low,39284,Canonn
HIP 98381,Independent,Communism,Industrial,Colony,Low,2820883,Movement for HIP 98381 Labour Union
HIP 93566,Independent,Dictatorship,Military,High Tech,Medium,54707,Wolves of Jonai
HIP 5273,Independent,Feudal,Extraction,None,Low,11777,Marquis du Ma'a
1 Kappa Cygni,Independent,Communism,Industrial,Refinery,High,24980359,Social Brabri Unionists
BD+45 2765,Federation,Democracy,Military,Extraction,Medium,62460,Uzbekree Free
HIP 91868,Independent,Democracy,Extraction,Agriculture,Low,40778,Fatal Shadows
HIP 91138,Independent,Feudal,Military,Colony,Low,938617,Marquis du Arawegali
HIP 31272,Independent,Feudal,Military,Extraction,Low,27529,Marquis du Ma'a
HIP 2293,Independent,Cooperative,Refinery,Terraforming,Low,379457,Canonn
HIP 82522,Independent,Confederacy,Industrial,Military,Low,3790620,The L.O.S.P.
HIP 82206,Federation,Corporate,Industrial,Extraction,Medium,4807913,HIP 82206 Transport Corporation
HIP 71679,Independent,Communism,Industrial,Extraction,Low,1129038,Laklano Worker's Party
HIP 77807,Independent,Democracy,Terraforming,Industrial,Medium,22701966,United Systems Commonwealth
HIP 80232,Independent,Corporate,Terraforming,Refinery,Medium,184307,Raven Colonial Corporation
HR 29,Independent,Democracy,Extraction,Agriculture,Medium,101297,Channel Zero
HIP 113250,Empire,Dictatorship,Colony,Refinery,Low,145597,Hohnpet Party
HIP 17044,Independent,Democracy,High Tech,None,Low,75500,Sirius Inc
HIP 4727,Independent,Cooperative,Terraforming,Military,Low,155579,United Systems Cooperative
HIP 1771,Independent,Cooperative,Agriculture,Extraction,Low,63953,United Systems Cooperative
