name,bodies.name,bodies.subType,bodies.spectralClass
HIP 26689,HIP 26689,F (White) Star,F5
Zeta Leporis,Zeta Leporis A,A (Blue-White) Star,A2
Tianve,Tianve,G (White-Yellow) Star,G0
HR 5751,HR 5751,A (Blue-White) Star,A3
HIP 36509,HIP 36509,F (White) Star,F6
LR Hydrae,LR Hydrae,K (Yellow-Orange) Star,K1
HIP 70525,HIP 70525,G (White-Yellow) Star,G0
HIP 48248,HIP 48248,F (White) Star,F5
HIP 63548,HIP 63548,G (White-Yellow) Star,G6
HIP 11459,HIP 11459,G (White-Yellow) Star,G6
HIP 7060,HIP 7060,G (White-Yellow) Star,G2
HIP 494,HIP 494,F (White) Star,F8
HIP 14973,HIP 14973 A,G (White-Yellow) Star,G0
Vargerson,Vargerson,G (White-Yellow) Star,G8
HIP 596,HIP 596 A,F (White) Star,F2
HIP 24597,HIP 24597,G (White-Yellow) Star,G3
CD-77 45,CD-77 45,G (White-Yellow) Star,G6
HIP 33799,HIP 33799 A,G (White-Yellow) Star,G1
HIP 39330,HIP 39330,G (White-Yellow) Star,G2
HIP 54641,HIP 54641,F (White) Star,F8
HIP 49285,HIP 49285 A,G (White-Yellow) Star,G8
HIP 74290,HIP 74290 A,F (White) Star,F3
36 Cygni,36 Cygni,A (Blue-White) Star,A2
49 Ceti,49 Ceti,A (Blue-White) Star,A4
Zeta Horologii,Zeta Horologii,F (White) Star,F6
HR 7327,HR 7327 A,A (Blue-White) Star,A8
60 b Leonis,60 b Leonis A,A (Blue-White) Star,A1
30 Serpentis,30 Serpentis,A (Blue-White) Star,A3
Delta Doradus,Delta Doradus,A (Blue-White) Star,A9
Biham,Biham,A (Blue-White) Star,A1
HR 8671,HR 8671,F (White) Star,F6
HIP 18339,HIP 18339,A (Blue-White) Star,A9
HR 2551,HR 2551,A (Blue-White) Star,A8
GD 140,GD 140 A,A (Blue-White) Star,A2
Eta Aquarii,Eta Aquarii,B (Blue-White) Star,B9
HIP 15604,HIP 15604,A (Blue-White) Star,A5
38 Arietis,38 Arietis,A (Blue-White) Star,A7
Delta Normae,Delta Normae,A (Blue-White) Star,A1
HR 8666,HR 8666,F (White) Star,F0
9 Lacertae,9 Lacertae,A (Blue-White) Star,A9
Aditi,Aditi,A (Blue-White) Star,A0
Tau-3 Gruis,Tau-3 Gruis,A (Blue-White) Star,A4
Psi Fornacis,Psi Fornacis,F (White) Star,F5
Phekda,Phekda,A (Blue-White) Star,A1
HR 2265,HR 2265,A (Blue-White) Star,A2
4 Eridani,4 Eridani A,A (Blue-White) Star,A8
15 Psi Scorpii,15 Psi Scorpii A,A (Blue-White) Star,A1
HIP 30252,HIP 30252 A,A (Blue-White) Star,A5
Tau Centauri,Tau Centauri,A (Blue-White) Star,A1
66 Andromedae,66 Andromedae,F (White) Star,F4
Kerb,Kerb,A (Blue-White) Star,A5
33 Theta Cassiopeiae,33 Theta Cassiopeiae,A (Blue-White) Star,A7
Tau-3 Eridani,Tau-3 Eridani,A (Blue-White) Star,A3
Ruchbah,Ruchbah,A (Blue-White) Star,A5
HR 943,HR 943,A (Blue-White) Star,A3
Epsilon Pavonis,Epsilon Pavonis A,A (Blue-White) Star,A0
108 Herculis,108 Herculis A,A (Blue-White) Star,A6
HIP 10096,HIP 10096,F (White) Star,F3
Zibal,Zibal,A (Blue-White) Star,A2
Alkaid,Alkaid,B (Blue-White) Star,B4
20 Ophiuchi,20 Ophiuchi,F (White) Star,F7
HIP 101613,HIP 101613 A,G (White-Yellow) Star,G5
HIP 96077,HIP 96077 A,F (White) Star,F8
HIP 91563,HIP 91563,F (White) Star,F5
HIP 943,HIP 943,G (White-Yellow) Star,G0
HIP 7924,HIP 7924 A,G (White-Yellow) Star,G8
HIP 493,HIP 493 A,F (White) Star,F8
HIP 104471,HIP 104471 A,F (White) Star,F8
HIP 95015,HIP 95015 A,G (White-Yellow) Star,G8
HIP 10961,HIP 10961,F (White) Star,F5
HIP 6913,HIP 6913 A,G (White-Yellow) Star,G5
HIP 78923,HIP 78923,G (White-Yellow) Star,G2
HIP 290,HIP 290 A,F (White) Star,F8
HIP 16813,HIP 16813 A,F (White) Star,F6
HIP 4909,HIP 4909 A,G (White-Yellow) Star,G3
HIP 104504,HIP 104504,G (White-Yellow) Star,G5
HIP 14614,HIP 14614 A,G (White-Yellow) Star,G8
AGKR 1017,AGKR 1017 A,F (White) Star,F5
Theta Sculptoris,Theta Sculptoris A,F (White) Star,F5
HR 7291,HR 7291,F (White) Star,F8
HIP 21167,HIP 21167,F (White) Star,F5
36 Persei,36 Persei,F (White) Star,F6
82 Eridani,82 Eridani,G (White-Yellow) Star,G8
HIP 78551,HIP 78551,G (White-Yellow) Star,G6
30 Lyncis,30 Lyncis A,F (White) Star,F4
10 Canum Venaticorum,10 Canum Venaticorum,F (White) Star,F9
109 Virginis,109 Virginis A,A (Blue-White) Star,A0
HIP 60061,HIP 60061 A,G (White-Yellow) Star,G5
HIP 8444,HIP 8444,F (White) Star,F6
HIP 1173,HIP 1173,G (White-Yellow) Star,G3
HIP 791,HIP 791,G (White-Yellow) Star,G3
HIP 11205,HIP 11205,G (White-Yellow) Star,G5
Likedeeler Magna Libertas,Likedeeler Magna Libertas A,F (White) Star,F8
CD-69 5,CD-69 5,G (White-Yellow) Star,G6
HIP 18388,HIP 18388 A,F (White) Star,F5
Epsilon Fornacis,Epsilon Fornacis A,K (Yellow-Orange) Star,K2
Euryale,Euryale,G (White-Yellow) Star,G0
BD+15 896,BD+15 896 A,G (White-Yellow) Star,G0
El,El,G (White-Yellow) Star,G2
I Puppis,I Puppis A,F (White) Star,F3
Ededleen,Ededleen A,F (White) Star,F5
HIP 57080,HIP 57080 A,F (White) Star,F6
HIP 11493,HIP 11493 A,F (White) Star,F5
HIP 16128,HIP 16128,F (White) Star,F6
HIP 1572,HIP 1572,G (White-Yellow) Star,G1
HIP 24629,HIP 24629 A,F (White) Star,F8
HIP 9414,HIP 9414,F (White) Star,F8
HIP 55109,HIP 55109 A,F (White) Star,F3
HIP 43973,HIP 43973,G (White-Yellow) Star,G0
HIP 50013,HIP 50013,F (White) Star,F7
HIP 19773,HIP 19773,F (White) Star,F8
HIP 10137,HIP 10137,F (White) Star,F0
64 G. Capricorni,64 G. Capricorni,A (Blue-White) Star,A6
HR 1139,HR 1139,A (Blue-White) Star,A6
24 G. Carinae,24 G. Carinae,A (Blue-White) Star,A8
BD+22 4939,BD+22 4939,G (White-Yellow) Star,G0
Takurua,Takurua,K (Yellow-Orange giant) Star,K0
HIP 8396,HIP 8396,F (White) Star,F8
HIP 115664,HIP 115664 A,K (Yellow-Orange) Star,K3
HIP 103895,HIP 103895,G (White-Yellow) Star,G5
Ross 187,Ross 187 A,K (Yellow-Orange) Star,K2
66 Draconis,66 Draconis A,K (Yellow-Orange giant) Star,K2
HIP 94497,HIP 94497,K (Yellow-Orange) Star,K2
HIP 91229,HIP 91229,G (White-Yellow) Star,G5
HIP 88572,HIP 88572,G (White-Yellow) Star,G5
HIP 113894,HIP 113894 A,K (Yellow-Orange) Star,K5
HIP 3062,HIP 3062,K (Yellow-Orange) Star,K4
HIP 112268,HIP 112268,K (Yellow-Orange) Star,K6
HIP 103913,HIP 103913 A,K (Yellow-Orange) Star,K2
MCC 872,MCC 872,K (Yellow-Orange) Star,K5
HIP 103678,HIP 103678 A,K (Yellow-Orange) Star,K8
Ross 752,Ross 752 A,M (Red dwarf) Star,M0
HIP 6596,HIP 6596 A,K (Yellow-Orange) Star,K2
HIP 641,HIP 641,G (White-Yellow) Star,G0
HIP 111496,HIP 111496 A,K (Yellow-Orange) Star,K2
HIP 98381,HIP 98381 A,K (Yellow-Orange) Star,K2
HIP 93566,HIP 93566 A,G (White-Yellow) Star,G0
HIP 5273,HIP 5273 A,K (Yellow-Orange) Star,K4
1 Kappa Cygni,1 Kappa Cygni A,G (White-Yellow) Star,G9
BD+45 2765,BD+45 2765 A,K (Yellow-Orange) Star,K5
HIP 91868,HIP 91868,K (Yellow-Orange) Star,K3
HIP 91138,HIP 91138 A,K (Yellow-Orange) Star,K2
HIP 31272,HIP 31272,G (White-Yellow) Star,G5
HIP 2293,HIP 2293,K (Yellow-Orange) Star,K5
HIP 82522,HIP 82522 A,K (Yellow-Orange) Star,K5
HIP 82206,HIP 82206,K (Yellow-Orange) Star,K5
HIP 71679,HIP 71679,G (White-Yellow) Star,G5
HIP 77807,HIP 77807,K (Yellow-Orange) Star,K2
HIP 80232,HIP 80232 A,G (White-Yellow) Star,G5
HR 29,HR 29 A,K (Yellow-Orange giant) Star,K0
HIP 113250,HIP 113250,K (Yellow-Orange) Star,K5
HIP 17044,HIP 17044,K (Yellow-Orange) Star,K5
HIP 4727,HIP 4727,G (White-Yellow) Star,G0
HIP 1771,HIP 1771,M (Red dwarf) Star,M1
HIP 114588,HIP 114588 A,K (Yellow-Orange) Star,K7
HIP 109058,HIP 109058,K (Yellow-Orange) Star,K0
HIP 5687,HIP 5687 A,K (Yellow-Orange) Star,K6
NLTT 639,NLTT 639,K (Yellow-Orange) Star,K6
Guede,Guede,K (Yellow-Orange) Star,K5
Wolf 883,Wolf 883 A,K (Yellow-Orange) Star,K3
HIP 9059,HIP 9059,K (Yellow-Orange) Star,K2
Ross 725,Ross 725,K (Yellow-Orange) Star,K1
HIP 17706,HIP 17706,K (Yellow-Orange giant) Star,K3
HIP 17736,HIP 17736,K (Yellow-Orange giant) Star,K3
HIP 8865,HIP 8865,K (Yellow-Orange) Star,K5
Ross 310,Ross 310,K (Yellow-Orange) Star,K7
MCC 818,MCC 818 A,K (Yellow-Orange) Star,K7
Ross 151,Ross 151,K (Yellow-Orange) Star,K5
Bered,Bered A,K (Yellow-Orange giant) Star,K1
HIP 90578,HIP 90578,K (Yellow-Orange) Star,K5
HIP 23694,HIP 23694,K (Yellow-Orange) Star,K4
MS Draconis,MS Draconis,K (Yellow-Orange) Star,K0
Wolf 1414,Wolf 1414 A,K (Yellow-Orange) Star,K6
Wolf 772,Wolf 772 A,K (Yellow-Orange) Star,K0
HIP 88166,HIP 88166,K (Yellow-Orange) Star,K0
HIP 86470,HIP 86470 A,K (Yellow-Orange) Star,K0
Ryijin,Ryijin A,K (Yellow-Orange) Star,K8
BD+56 1773,BD+56 1773,K (Yellow-Orange) Star,K5
BD+47 2267,BD+47 2267 A,K (Yellow-Orange) Star,K0
HIP 81378,HIP 81378 A,K (Yellow-Orange) Star,K5
HIP 83425,HIP 83425 A,K (Yellow-Orange) Star,K3
HIP 48854,HIP 48854,G (White-Yellow) Star,G5
HIP 64076,HIP 64076 A,G (White-Yellow) Star,G0
HIP 76045,HIP 76045,K (Yellow-Orange) Star,K4
HIP 81177,HIP 81177 A,K (Yellow-Orange) Star,K0
HIP 59846,HIP 59846 A,K (Yellow-Orange) Star,K4
HIP 2311,HIP 2311,K (Yellow-Orange) Star,K0
HIP 114519,HIP 114519 A,G (White-Yellow) Star,G5
LP 644-15,LP 644-15,K (Yellow-Orange) Star,K5
HIP 112069,HIP 112069,K (Yellow-Orange) Star,K6
HIP 108419,HIP 108419 A,K (Yellow-Orange) Star,K5
HIP 105740,HIP 105740,K (Yellow-Orange) Star,K1
HIP 7830,HIP 7830 A,K (Yellow-Orange) Star,K2
Ross 311,Ross 311 A,K (Yellow-Orange) Star,K5
LTT 9850,LTT 9850 A,K (Yellow-Orange) Star,K7
Ross 209,Ross 209 A,K (Yellow-Orange) Star,K7
HIP 103138,HIP 103138,K (Yellow-Orange) Star,K3
HIP 13875,HIP 13875,K (Yellow-Orange) Star,K2
Tangaroa,Tangaroa,G (White-Yellow) Star,G5
Myrbat,Myrbat,G (White-Yellow) Star,G9
Punna,Punna,K (Yellow-Orange) Star,K7
Ross 162,Ross 162,K (Yellow-Orange) Star,K8
UGP 485,UGP 485,K (Yellow-Orange) Star,K2
HIP 21069,HIP 21069,G (White-Yellow) Star,G0
HIP 17022,HIP 17022 A,G (White-Yellow) Star,G0
LTT 10918,LTT 10918,K (Yellow-Orange) Star,K0
G 218-5,G 218-5,K (Yellow-Orange) Star,K7
Ross 5,Ross 5 A,K (Yellow-Orange) Star,K7
BD-00 3426,BD-00 3426 A,K (Yellow-Orange) Star,K3
HIP 88924,HIP 88924 A,K (Yellow-Orange) Star,K2
HIP 25224,HIP 25224,K (Yellow-Orange) Star,K5
Alexis Centauri,Alexis Centauri,K (Yellow-Orange) Star,K5
Triteia,Triteia,G (White-Yellow) Star,G0
LTT 10482,LTT 10482,K (Yellow-Orange) Star,K5
Wunjo,Wunjo,K (Yellow-Orange) Star,K5
Magec,Magec,K (Yellow-Orange) Star,K5
Bullpop,Bullpop,K (Yellow-Orange) Star,K4
Sinistra,Sinistra,K (Yellow-Orange giant) Star,K1
HIP 34730,HIP 34730,K (Yellow-Orange) Star,K5
HIP 35274,HIP 35274,M (Red dwarf) Star,M0
Beta Catonis,Beta Catonis,K (Yellow-Orange) Star,K6
Ethgreze,Ethgreze,K (Yellow-Orange) Star,K2
Gliese 563.1,Gliese 563.1,K (Yellow-Orange) Star,K7
HIP 80700,HIP 80700,G (White-Yellow) Star,G8
HIP 56092,HIP 56092 A,K (Yellow-Orange) Star,K0
HIP 61947,HIP 61947 A,K (Yellow-Orange) Star,K5
HIP 70142,HIP 70142 A,K (Yellow-Orange giant) Star,K2
HIP 75964,HIP 75964,K (Yellow-Orange) Star,K5
HIP 73321,HIP 73321,G (White-Yellow) Star,G5
HIP 1013,HIP 1013 A,K (Yellow-Orange giant) Star,K1
HIP 6807,HIP 6807 A,K (Yellow-Orange) Star,K5
HIP 2273,HIP 2273 A,K (Yellow-Orange giant) Star,K1
HIP 117064,HIP 117064 A,G (White-Yellow) Star,G8
HIP 110115,HIP 110115 A,K (Yellow-Orange giant) Star,K2
HIP 5191,HIP 5191 A,K (Yellow-Orange) Star,K1
HIP 305,HIP 305 A,G (White-Yellow) Star,G5
HIP 110892,HIP 110892 A,K (Yellow-Orange) Star,K5
HIP 10532,HIP 10532,K (Yellow-Orange) Star,K0
BD-09 241,BD-09 241 A,K (Yellow-Orange) Star,K3
LTT 47,LTT 47,G (White-Yellow) Star,G9
HIP 787,HIP 787 A,K (Yellow-Orange) Star,K1
HR 8268,HR 8268,G (White-Yellow) Star,G8
HIP 103710,HIP 103710,K (Yellow-Orange) Star,K0
HIP 13674,HIP 13674 A,K (Yellow-Orange) Star,K0
HIP 10818,HIP 10818 A,G (White-Yellow) Star,G8
Mazu,Mazu A,G (White-Yellow) Star,G9
Annarr,Annarr A,K (Yellow-Orange) Star,K4
CD-35 14353,CD-35 14353,K (Yellow-Orange giant) Star,K0
HIP 97160,HIP 97160,K (Yellow-Orange) Star,K2
HIP 18327,HIP 18327 A,K (Yellow-Orange) Star,K2
Witchhaul,Witchhaul A,K (Yellow-Orange) Star,K3
LTT 1147,LTT 1147,K (Yellow-Orange) Star,K3
LHS 1067,LHS 1067 A,K (Yellow-Orange) Star,K3
LHS 3439,LHS 3439,K (Yellow-Orange) Star,K6
HIP 91862,HIP 91862,K (Yellow-Orange) Star,K5
HIP 90112,HIP 90112,K (Yellow-Orange) Star,K0
HIP 27155,HIP 27155 A,K (Yellow-Orange) Star,K0
HIP 22559,HIP 22559 A,K (Yellow-Orange) Star,K2
Al-Qaum,Al-Qaum A,K (Yellow-Orange giant) Star,K5
Wolf 1323,Wolf 1323,K (Yellow-Orange) Star,K5
Rana,Rana,K (Yellow-Orange giant) Star,K1
Eea,Eea,K (Yellow-Orange) Star,K3
Epsilon Scorpii,Epsilon Scorpii A,K (Yellow-Orange giant) Star,K1
CD-28 12950,CD-28 12950,K (Yellow-Orange) Star,K3
HIP 87369,HIP 87369 A,G (White-Yellow) Star,G8
Ross 71,Ross 71,K (Yellow-Orange) Star,K0
HN Bootis,HN Bootis,K (Yellow-Orange) Star,K3
LTT 6139,LTT 6139,K (Yellow-Orange giant) Star,K3
BD-15 4230,BD-15 4230 A,K (Yellow-Orange) Star,K2
Meelov,Meelov A,G (White-Yellow) Star,G9
BD+26 2184,BD+26 2184,K (Yellow-Orange) Star,K1
Hadad,Hadad,K (Yellow-Orange) Star,K3
LHS 2983,LHS 2983,K (Yellow-Orange) Star,K2
HIP 75426,HIP 75426,K (Yellow-Orange) Star,K3
HIP 53756,HIP 53756 A,K (Yellow-Orange) Star,K4
HIP 60265,HIP 60265,K (Yellow-Orange) Star,K4
HIP 66828,HIP 66828,K (Yellow-Orange) Star,K5
HIP 67882,HIP 67882 A,G (White-Yellow) Star,G8
HIP 1742,HIP 1742 A,G (White-Yellow) Star,G8
HIP 118045,HIP 118045,K (Yellow-Orange giant) Star,K0
HIP 5004,HIP 5004,G (White-Yellow) Star,G5
HIP 12860,HIP 12860,K (Yellow-Orange) Star,K4
HIP 10012,HIP 10012,G (White-Yellow) Star,G8
Gliese 9043,Gliese 9043 A,G (White-Yellow) Star,G8
HIP 2136,HIP 2136,K (Yellow-Orange) Star,K1
HIP 111672,HIP 111672 A,K (Yellow-Orange) Star,K3
HIP 109787,HIP 109787,G (White-Yellow) Star,G8
HIP 105929,HIP 105929 A,G (White-Yellow) Star,G8
HIP 15376,HIP 15376,G (White-Yellow) Star,G8
Gliese 76,Gliese 76 A,G (White-Yellow) Star,G9
BPM 28514,BPM 28514,K (Yellow-Orange) Star,K3
HIP 108598,HIP 108598 A,K (Yellow-Orange) Star,K0
NLTT 8234,NLTT 8234 A,K (Yellow-Orange) Star,K6
LFT 141,LFT 141,M (Red dwarf) Star,M0
HIP 103867,HIP 103867,K (Yellow-Orange) Star,K7
HIP 95350,HIP 95350,K (Yellow-Orange) Star,K0
HIP 94832,HIP 94832,K (Yellow-Orange giant) Star,K0
Zeus,Zeus,K (Yellow-Orange) Star,K5
LTT 464,LTT 464,K (Yellow-Orange) Star,K7
Chup Kamui,Chup Kamui,K (Yellow-Orange) Star,K4
HIP 88553,HIP 88553 A,G (White-Yellow) Star,G8
Ross 601,Ross 601 A,K (Yellow-Orange) Star,K2
LHS 1798,LHS 1798,K (Yellow-Orange) Star,K3
LTT 2396,LTT 2396,K (Yellow-Orange) Star,K7
Benoit,Benoit,K (Yellow-Orange) Star,K7
Lugh,Lugh,K (Yellow-Orange) Star,K1
Beimech,Beimech A,G (White-Yellow) Star,G8
Gliese 2119,Gliese 2119 A,M (Red dwarf) Star,M0
